index,bitstring,energy,probability
0,110000000001110111001010101010,1010.75,0.0009765625
1,001100000111100111000010101010,1241.0,0.0009765625
2,001100100000111011010010011010,1261.0,0.0009765625
3,000001000010101111000010101010,1271.0,0.0009765625
4,011001100100011100100010000010,1401.25,0.0009765625
5,001100111000001110001010001010,1411.25,0.0009765625
6,001001010001010110101010101010,1411.25,0.0009765625
7,000011000000011110011010101010,1441.25,0.0009765625
8,010000000001101000101000101000,1451.25,0.0009765625
9,000001000110110000110110101010,1451.25,0.0009765625
10,000110100000100101001010101010,1461.25,0.0009765625
11,011000000001100010001010011010,1461.25,0.0009765625
12,000100000001101100001010100010,1491.25,0.0009765625
13,100001000000101011101010001010,1491.25,0.0009765625
14,000100000000110011001010101010,1491.25,0.0009765625
15,001011010001110100101010101010,1491.25,0.0009765625
16,110000000001110100101010101011,1491.25,0.0009765625
17,101100010000110110011010011000,1531.25,0.0009765625
18,000001010000110110000010101010,1531.25,0.0009765625
19,000001000000110110101010101010,1531.25,0.0009765625
20,000001010100101110101010101010,1531.25,0.0009765625
21,011000000100110110011000100110,1531.25,0.0009765625
22,010000000100111110001010100110,1561.25,0.0009765625
23,010000000000000100101010100110,1601.5,0.0009765625
24,011010100000001010001010101010,1631.5,0.0009765625
25,010000001001100100001010001001,1721.5,0.0009765625
26,000100100000101101001010100010,1751.5,0.0009765625
27,010000000110110010001001100110,1751.5,0.0009765625
28,000001010100101100011010101001,1751.5,0.0009765625
29,110000000000100110011000000010,1761.5,0.0009765625
30,110000000010100111010000101010,1761.5,0.0009765625
31,010000100000111011001010101000,1781.5,0.0009765625
32,000100000000111011001010100010,1781.5,0.0009765625
33,010000000000111100011010100010,1781.5,0.0009765625
34,010000000000111010011010100010,1781.5,0.0009765625
35,010000000000111010101000101010,1781.5,0.0009765625
36,000011000001111010100010001001,1781.5,0.0009765625
37,101100001100101110010010101010,1791.5,0.0009765625
38,001001011000110110100110101010,1791.5,0.0009765625
39,000001011100111110001010010010,1821.5,0.0009765625
40,000100010001000001001010011000,1821.75,0.0009765625
41,010010000000000010011001100010,1861.75,0.0009765625
42,100010010000000010000101011001,1861.75,0.0009765625
43,000011000001001100111010100110,1891.75,0.0009765625
44,001011100100011010000110100101,1921.75,0.0009765625
45,100110011000011111001000100110,1961.75,0.0009765625
46,000100000011101010101010001000,2011.75,0.0009765625
47,000100000000110101001000100010,2011.75,0.0009765625
48,101100010000110010000010010010,2011.75,0.0009765625
49,100100010011101010011000001010,2011.75,0.0009765625
50,111000100010110100101010101010,2011.75,0.0009765625
51,100011011010101100011010101010,2011.75,0.0009765625
52,000100000000100110011000100110,2021.75,0.0009765625
53,001001001100111101000010101000,2041.75,0.0009765625
54,010000111100111010001010100010,2041.75,0.0009765625
55,001110000000101111001010001000,2051.75,0.0009765625
56,001110111000110110010110101000,2051.75,0.0009765625
57,010000100011111111110010001010,2081.75,0.0009765625
58,000001011000111110001010000001,2081.75,0.0009765625
59,010010101100111110010010000101,2081.75,0.0009765625
60,000001010000010000000100010110,2112.0,0.0009765625
61,000011101000010011001000000010,2152.0,0.0009765625
62,000001010000010010101010110110,2152.0,0.0009765625
63,011010100000011100000001101010,2182.0,0.0009765625
64,010000110010001110001010100101,2192.0,0.0009765625
65,000001010100011111001001100000,2222.0,0.0009765625
66,100000011001011110101111101010,2222.0,0.0009765625
67,001100101000101000101010101000,2232.0,0.0009765625
68,000000000110101000011011111011,2232.0,0.0009765625
69,001001000000111001000001100110,2262.0,0.0009765625
70,000001000100110100010110100100,2272.0,0.0009765625
71,000000000101101101010111101010,2272.0,0.0009765625
72,010000000100101100001010101110,2272.0,0.0009765625
73,000001010000110010001010101011,2272.0,0.0009765625
74,100011010000110010001010101011,2272.0,0.0009765625
75,010000110000100111101001100010,2282.0,0.0009765625
76,010010000010100110101010100110,2282.0,0.0009765625
77,000100101011101111001010101000,2312.0,0.0009765625
78,011100100000110110000010011000,2312.0,0.0009765625
79,010000000001110110101010111000,2312.0,0.0009765625
80,000000010100110110011010101010,2312.0,0.0009765625
81,101110000000101111011010101010,2312.0,0.0009765625
82,001010011100101110110101010101,2312.0,0.0009765625
83,000011100000110111111000101011,2312.0,0.0009765625
84,000000010100110110100111110111,2312.0,0.0009765625
85,101001000010111110001001101000,2342.0,0.0009765625
86,100001000000111110100110010010,2342.0,0.0009765625
87,101001000010111110000010001010,2342.0,0.0009765625
88,010000100010111110001000011010,2342.0,0.0009765625
89,100011010010111110110001001001,2342.0,0.0009765625
90,100001010110111110011110101001,2342.0,0.0009765625
91,000001001000010000101011101010,2372.25,0.0009765625
92,001001001010001011001010100100,2412.25,0.0009765625
93,011010100000010010110111101010,2412.25,0.0009765625
94,100000000010011100101011110110,2442.25,0.0009765625
95,000000001011001110101111011011,2452.25,0.0009765625
96,000000000000100000011011011111,2462.25,0.0009765625
97,010000110000101001111010101011,2492.25,0.0009765625
98,010001001100111001100010001010,2522.25,0.0009765625
99,100010010000111000011101101111,2522.25,0.0009765625
100,100001000101101011000000001000,2532.25,0.0009765625
101,000100000000101010100010101000,2532.25,0.0009765625
102,000100110010101010101010000010,2532.25,0.0009765625
103,010000001010101010010010001010,2532.25,0.0009765625
104,010000001010110010010010011010,2532.25,0.0009765625
105,010010001000110011101001010110,2532.25,0.0009765625
106,101100010010110010001010100111,2532.25,0.0009765625
107,100010000100110101001111011111,2532.25,0.0009765625
108,001110101101100111011000101010,2542.25,0.0009765625
109,010000000011100110001010001110,2542.25,0.0009765625
