index,bitstring,cost,energy,probability
4,000000100001000100101,149,600.75,0.0009765625
12,001100001001010010110,149,851.0,0.0009765625
18,111000100001100001010,149,951.0,0.0009765625
36,100110001001011011001,149,1051.25,0.0009765625
40,100110001001101010010,149,1151.25,0.0009765625
45,100001001001110101010,149,1201.25,0.0009765625
65,110010100001100110000,149,1351.5,0.0009765625
86,100010001001110101001,149,1401.5,0.0009765625
112,001010100001011111110,149,1451.75,0.0009765625
181,000000100001101000011,149,1752.0,0.0009765625
193,101000100001111111001,149,1802.0,0.0009765625
198,000101100001000010000,149,1802.25,0.0009765625
209,101110001001001101001,149,1802.25,0.0009765625
213,000001100001001001011,149,1802.25,0.0009765625
307,001010001001100010110,149,2152.5,0.0009765625
320,100110100001111111000,149,2202.5,0.0009765625
430,100101100001100000100,149,2553.0,0.0009765625
456,101001001001000111000,149,2603.25,0.0009765625
515,111100001001111001110,149,2803.25,0.0009765625
525,010100100001111001011,149,2803.25,0.0009765625
564,111011100001101011010,149,2953.5,0.0009765625
604,100101100001011010110,149,3053.75,0.0009765625
824,111111100001100100110,149,4155.0,0.0009765625
831,101101001001110111011,149,4205.0,0.0009765625
876,111101100001110101100,149,4605.5,0.0009765625
945,010101001001011011110,149,5657.0,0.0009765625
998,111111001001000011101,149,6808.5,0.0009765625
