index,bitstring,cost,energy,probability
48,0110100010011110,0,0.29160000000001673,0.0009765625
61,1010010010011101,0,0.4369209999999981,0.0009765625
106,1010011000010111,0,2.007889000000006,0.0009765625
168,1100010010011111,0,3.2760999999999996,0.0009765625
203,1100000010010000,0,4.129023999999987,0.0009765625
206,0110011000011000,0,4.355569000000003,0.0009765625
208,0110001000011000,0,4.363921000000005,0.0009765625
226,1010111000010000,0,4.691556000000006,0.0009765625
245,1101000010011011,0,5.2716159999999945,0.0009765625
248,0110010010010000,0,5.433560999999997,0.0009765625
263,1101110010010111,0,6.528024999999985,0.0009765625
269,1101111000011111,0,7.834400999999993,0.0009765625
273,1110011000011011,0,20.000225,0.0009765625
288,1111111000010101,0,20.04752400000001,0.0009765625
346,0010101000011110,0,20.389376000000002,0.0009765625
361,0111010010010001,0,20.514089000000013,0.0009765625
365,0100111000011110,0,20.564001000000005,0.0009765625
369,0100111000011000,0,20.616225,0.0009765625
472,0010110010011101,0,22.762244000000003,0.0009765625
488,0100100010011101,0,23.186225000000004,0.0009765625
522,1110010010011010,0,24.206600999999978,0.0009765625
528,1111101000011000,0,24.359744000000006,0.0009765625
574,1110101000010010,0,25.38239999999999,0.0009765625
622,0010000010011111,0,27.198489000000002,0.0009765625
623,0010110010011111,0,27.214596000000004,0.0009765625
630,1110101000010100,0,28.020223999999985,0.0009765625
649,1001011000010000,0,40.017956,0.0009765625
743,1001000010010111,0,53.89798400000001,0.0009765625
814,0011000010010010,0,60.751689,0.0009765625
861,0000000010010000,0,80.020736,0.0009765625
912,0000100010011101,0,88.767521,0.0019531250000000004
930,0000111000010111,0,93.830961,0.0009765625
943,0001100010011100,0,123.659569,0.0009765625
972,0001110010010001,0,130.208025,0.0009765625
