iteration,energy,paramter,std
1,0.7905800306368248,[0.5 0.5 0.5 0.5],0.0242986962430579
2,2.2129178269725216,[2.5 0.5 0.5 0.5],0.04054837428101301
3,0.20681772628841194,[0.5 2.5 0.5 0.5],0.018280436581799644
4,-0.5668827310801048,[0.5 2.5 2.5 0.5],0.02290478648078691
5,-0.503153887314282,[0.5 2.5 2.5 2.5],0.017427685100511486
6,-0.31222053454872506,[-1.1516225   3.17786637  3.39842306  0.42599789],0.016834158692910585
7,-0.43474033709668636,[1.20724304 2.92489086 3.06313717 0.45361502],0.027106220596319293
8,-0.2908990544837805,[0.51681903 1.58985358 2.91254805 0.46601888],0.026537349839742593
9,-0.9316123487354722,[0.52018571 2.67947164 2.03554419 0.45921685],0.022999043811076342
10,-0.06450530107013454,[0.77201082 2.65737428 1.60451717 0.44156658],0.02058527449262935
11,-0.6114877152671915,[0.52457778 2.71142201 2.02632746 0.7069565 ],0.027200179228482082
12,-0.16988247123814007,[0.23027429 3.03720308 2.08722791 0.27131163],0.026145929873801863
13,-1.281102183739369,[0.33294826 2.55109797 1.9320768  0.47524301],0.018363072860815052
14,-0.9467672141199776,[0.24957395 2.12771591 2.16435499 0.37603011],0.02258635642144561
15,-0.9972523545833168,[0.12938451 2.66394141 1.93622428 0.38407856],0.020168581587080583
16,-0.8342890754547014,[0.39602668 2.47805862 1.71254671 0.40458252],0.015335438872515837
17,-1.2758860756083492,[0.31631298 2.45379964 2.00776515 0.46289087],0.020770375095767925
18,-0.8763700797353627,[0.30560068 2.54296643 1.93390919 0.59692961],0.023976579910600128
19,-1.3332830075902515,[0.34906834 2.52304433 1.89282857 0.43892548],0.016115737782259547
20,-1.2836372788282064,[0.39305042 2.53788073 1.91479719 0.40330123],0.016675406194212816
21,-1.3154464972620015,[0.32759542 2.532141   1.89646029 0.41844286],0.016338089976335648
22,-1.2553445960998089,[0.34764928 2.48630016 1.84473946 0.45446703],0.015852898532000715
23,-1.3299555790990825,[0.35299867 2.54739804 1.87393903 0.44227175],0.015624965839584393
24,-1.2855025084756087,[0.34681524 2.48119966 1.8488806  0.45371646],0.01518203924150975
25,-1.2819472292972716,[0.34794179 2.502122   1.87085459 0.44632097],0.016399603837386895
26,-1.3518331902194853,[0.34630423 2.52854912 1.90209851 0.44989206],0.016276831358192446
27,-1.275822216679966,[0.35504108 2.53464475 1.91337801 0.4517425 ],0.017718400274619992
28,-1.310085304989563,[0.3507803  2.52523405 1.89962138 0.45477817],0.01679106772962719
29,-1.3301282882741146,[0.33081179 2.5301375  1.90110462 0.44910846],0.016588728685237572
30,-1.3057989098622294,[0.34540008 2.52210703 1.90638101 0.44927789],0.016929554631517817
31,-1.3213815178968662,[0.34795005 2.5282481  1.89153865 0.46128639],0.016491171161440218
32,-1.3533053491218814,[0.3484432  2.53574824 1.9027897  0.44785367],0.01630702291850612
33,-1.3151279919204044,[0.34915151 2.53662884 1.9001635  0.45051538],0.01648329188904096
34,-1.332060826118219,[0.34701667 2.53635988 1.90354023 0.44877145],0.016742642733645504
35,-1.3229119247248724,[0.3468743  2.53559694 1.90075772 0.44491335],0.016517337720759244
36,-1.310626931767064,[0.35127832 2.53446749 1.9049507  0.44689938],0.016983110477169952
37,-1.334879589561207,[0.34704552 2.53621176 1.9039606  0.44837838],0.0165661311413978
38,-1.3049599361353095,[0.34871383 2.53665185 1.9028634  0.44761184],0.01666600523915865
39,-1.314407053119511,[0.34820396 2.53431613 1.90204533 0.4489272 ],0.01657478832836332
40,-1.3206726709224794,[0.3486781  2.53519692 1.90340588 0.44739013],0.016802658741501223
41,-1.3010475804873214,[0.34813504 2.53566472 1.90259586 0.44753918],0.01687239367598772
42,-1.3147848029366174,[0.34906171 2.53621593 1.90295451 0.44842395],0.017198922869435744
43,-1.3201900875162118,[0.34823112 2.53592208 1.90248341 0.44759024],0.016780118195249525
44,-1.2681197814043061,[0.34830667 2.53586962 1.90295165 0.44785539],0.017277216468824984
45,-1.3161246684651122,[0.34854869 2.53540455 1.90250566 0.44802247],0.016635957542760507
46,-1.320017445792384,[0.3486593  2.53585104 1.90275802 0.44781716],0.01686978485478977
47,-1.3496666295415833,[0.34846312 2.53568189 1.90282053 0.44775801],0.01621148685935989
