index,bitstring,probability
0,001100000001010000,0.0009765625
1,001100010010000100,0.0009765625
2,011100100000100110,0.0009765625
3,001100010000000000,0.0009765625
4,010010100100000000,0.0009765625
5,001100010001000000,0.0009765625
6,000111110000100000,0.0009765625
7,110011000100100000,0.0009765625
8,110011001100100000,0.0009765625
9,011100100001110000,0.0009765625
10,000011000100111010,0.0009765625
11,000011000100110001,0.0009765625
12,000011010000000000,0.0009765625
13,110000000100010000,0.0009765625
14,000110001101010000,0.0009765625
15,111000000001001000,0.0009765625
16,000100011001001000,0.0009765625
17,000011011000011000,0.0009765625
18,001000110100000110,0.0009765625
19,110011000100100100,0.0009765625
20,100101010010100100,0.0009765625
21,001100010010100010,0.0009765625
22,010010100001100010,0.0009765625
23,000110001000110110,0.0009765625
24,010010100100110110,0.0009765625
25,000011010000100001,0.0009765625
26,000100010000100101,0.0009765625
27,000100001000100101,0.0009765625
28,110100001000110101,0.0009765625
29,001000000100110101,0.0009765625
30,000010001100110101,0.0009765625
31,001000000110110101,0.0009765625
32,000011110000101101,0.0009765625
33,001100000010110111,0.0009765625
34,000110110000000000,0.0009765625
35,010000101100000000,0.0009765625
36,100110011001000000,0.0009765625
37,010000000011000000,0.0009765625
38,000011001100001000,0.0009765625
39,001100000000011000,0.0009765625
40,010110100000000100,0.0009765625
41,000001010110000100,0.0009765625
42,110000100100001010,0.0009765625
43,010000100000000110,0.0009765625
44,001110010000000110,0.0009765625
45,000000000000001110,0.0009765625
46,000010001101010001,0.0009765625
47,001000010001001001,0.0009765625
48,000000010010000101,0.0009765625
49,011011100000100000,0.0009765625
50,001111010000101100,0.0009765625
51,011001000010101100,0.0009765625
52,000001000010100010,0.0009765625
53,001001110010100010,0.0009765625
54,010100000001100010,0.0009765625
55,010110000001100010,0.0009765625
56,000111000000110010,0.0009765625
57,000101011000110010,0.0009765625
58,010001100100110010,0.0009765625
59,110001000001101010,0.0009765625
60,010000110100100110,0.0009765625
61,001100010011100110,0.0009765625
62,000001000100110110,0.0009765625
63,010100001001110110,0.0009765625
64,000001000100110001,0.0009765625
65,001001100100110001,0.0009765625
66,001000010001101001,0.0009765625
67,000000011100100101,0.0009765625
68,001000010000111101,0.0009765625
69,000010000001100011,0.0009765625
70,010000101001101011,0.0009765625
71,001100001000100111,0.0009765625
72,001000000010101111,0.0009765625
73,100000010100000000,0.0009765625
74,111100101001000000,0.0009765625
75,011010100100010000,0.0009765625
76,110010001100010000,0.0009765625
77,010000100110010000,0.0009765625
78,010000100011010000,0.0009765625
79,010000000000001000,0.0009765625
80,111000000000001000,0.0009765625
81,000100110001001000,0.0009765625
82,100100000010000100,0.0009765625
83,001010000100010100,0.0009765625
84,000000001110010100,0.0009765625
85,000100100001011100,0.0009765625
86,001000001100010010,0.0009765625
87,000000101101010010,0.0009765625
88,100000001000001010,0.0009765625
89,000010010010001010,0.0009765625
90,100001010010001010,0.0009765625
91,010000000011011010,0.0009765625
92,000000110010000110,0.0009765625
93,000110000100010110,0.0009765625
