index,bitstring,energy,probability
20,000000001001011110,30.75,0.0009765625
21,000000100001011001,30.75,0.0009765625
55,010111100001110000,51.0,0.0009765625
218,100100100001001000,71.75,0.0009765625
243,011010100001010110,71.75,0.0009765625
250,110000100001011101,71.75,0.0009765625
304,000001100001011100,82.0,0.0009765625
508,101000100001110010,122.75,0.0009765625
510,101110100001111010,122.75,0.0009765625
545,001111100001010010,123.0,0.0009765625
577,101001001001111011,133.0,0.0009765625
639,010111001001000100,143.5,0.0009765625
682,101001001001100011,153.5,0.0009765625
763,100101100001110011,174.0,0.0009765625
