index,bitstring,energy,probability
0,001000100001110011,40.75,0.0009765625
1,110000101101000000,41.0,0.0009765625
2,110000001111000000,41.0,0.0009765625
3,010110111001100010,51.0,0.0009765625
4,110100101101100010,51.0,0.0009765625
5,100000011100000000,51.25,0.0009765625
6,000011011110000000,51.25,0.0009765625
7,111100001011000000,51.25,0.0009765625
8,000100011011010000,51.25,0.0009765625
9,111000110100000100,51.25,0.0009765625
10,100001011110100001,61.25,0.0009765625
11,111000110001000000,61.5,0.0009765625
12,011000101101000000,61.5,0.0009765625
13,000100011101000000,61.5,0.0009765625
14,100100011101000000,61.5,0.0009765625
15,101100011011000000,61.5,0.0009765625
16,100011000001010000,61.5,0.0009765625
17,000010101001001000,61.5,0.0009765625
18,001000000101000100,61.5,0.0009765625
19,001010100101010001,61.5,0.0009765625
20,100111011110100000,71.5,0.0009765625
21,000011110110110000,71.5,0.0009765625
22,100011011110100010,71.5,0.0009765625
23,111100100111100010,71.5,0.0009765625
24,100011000010101110,71.5,0.0009765625
25,100011011010101110,71.5,0.0009765625
26,000111011100100001,71.5,0.0009765625
27,000010111000100011,71.5,0.0009765625
28,010010111001101011,71.5,0.0009765625
29,001011110110000000,71.75,0.0009765625
30,010110010001000000,71.75,0.0009765625
31,001010110001000000,71.75,0.0009765625
32,100000010101000000,71.75,0.0009765625
33,111100110011000000,71.75,0.0009765625
34,100000001111000000,71.75,0.0009765625
35,000101001110010000,71.75,0.0009765625
36,011101011100100000,81.75,0.0009765625
37,111111001001100000,81.75,0.0009765625
38,111001110110101000,81.75,0.0009765625
39,001100010000111100,81.75,0.0009765625
40,111001100111100010,81.75,0.0009765625
41,000010100101110010,81.75,0.0009765625
42,110111001100100110,81.75,0.0009765625
43,011100011100100001,81.75,0.0009765625
44,000011111001100001,81.75,0.0009765625
45,000001001101100001,81.75,0.0009765625
46,000011110011100001,81.75,0.0009765625
47,001000011100110011,81.75,0.0009765625
48,001011010010101011,81.75,0.0009765625
49,100100100101000000,82.0,0.0009765625
50,010000010101000000,82.0,0.0009765625
51,000110010101000000,82.0,0.0009765625
52,010010111101000000,82.0,0.0009765625
53,001100110111000000,82.0,0.0009765625
54,101000100101010000,82.0,0.0009765625
55,000000010101001000,82.0,0.0009765625
56,101100100101010100,82.0,0.0009765625
57,001100110101010100,82.0,0.0009765625
58,110001011101100000,92.0,0.0009765625
59,100101010110111000,92.0,0.0009765625
60,001011111100100010,92.0,0.0009765625
61,011110110011100010,92.0,0.0009765625
62,111001100101101010,92.0,0.0009765625
63,101100011011101010,92.0,0.0009765625
64,111110000001111010,92.0,0.0009765625
65,110001110110100001,92.0,0.0009765625
