index,bitstring,energy,probability
4,110000100001010000,30.75,0.0009765625
31,000110001001101101,51.0,0.0009765625
69,001110100001101001,61.25,0.0009765625
95,110111001001100100,71.5,0.0009765625
102,000101001001101010,71.5,0.0009765625
134,011000100001010001,71.75,0.0009765625
142,000100001001100100,81.75,0.0009765625
158,011001100001101110,81.75,0.0009765625
276,000101001001101001,102.25,0.0009765625
283,000001001001101011,102.25,0.0009765625
287,010001001001000000,102.5,0.0009765625
321,110010100001110100,112.5,0.0009765625
355,100001100001010100,112.75,0.0009765625
364,111010100001001001,112.75,0.0009765625
429,001010001001001111,123.0,0.0009765625
437,101001001001101110,133.0,0.0009765625
443,100101001001101101,133.0,0.0009765625
459,110001100001000010,133.25,0.0009765625
478,100110100001101000,143.25,0.0009765625
482,100000100001111000,143.25,0.0009765625
490,111111001001100110,143.25,0.0009765625
529,101101100001010100,143.5,0.0009765625
640,000101100001100011,163.75,0.0009765625
667,101110100001001101,164.0,0.0009765625
768,010111001001001010,194.75,0.0019531250000000004
789,010101001001000010,205.0,0.0009765625
838,111011100001110111,225.25,0.0009765625
850,001001001001011011,225.5,0.0009765625
876,010101001001001110,246.0,0.0009765625
