index,bitstring,energy,probability
0,011000,0,0.009765625000000002
1,100100,0,0.0029296874999999996
3,011010,0,0.004882812500000001
4,000110,0,0.00390625
5,100110,0,0.00390625
6,010110,0,0.03613281249999999
7,001001,0,0.0019531250000000004
8,101001,0,0.0244140625
9,011001,0,0.0019531250000000004
10,100101,0,0.005859374999999999
12,101000,0,0.0205078125
13,111000,0,0.022460937499999997
14,010100,0,0.018554687500000003
15,110100,0,0.018554687500000003
22,001011,0,0.004882812500000001
23,000111,0,0.005859374999999999
27,001010,0,0.0009765625
28,110110,0,0.0205078125
33,111001,0,0.018554687500000003
34,000101,0,0.0029296874999999996
40,101011,0,0.004882812500000001
41,010111,0,0.006835937500000001
43,101010,0,0.0009765625
45,010101,0,0.005859374999999999
46,110101,0,0.0029296874999999996
48,111011,0,0.007812500000000002
49,110111,0,0.005859374999999999
