index,bitstring,energy,probability
0,010011100100100010,20.25,0.0009765625
1,110000000100100101,20.25,0.0009765625
2,001101000011100000,30.5,0.0009765625
3,110000010010001000,30.75,0.0009765625
4,100001000110010100,30.75,0.0009765625
5,000100001001100010,40.75,0.0009765625
6,000011100100101010,40.75,0.0009765625
7,001101000011111010,40.75,0.0009765625
8,111100001001100110,40.75,0.0009765625
9,001001000110100001,40.75,0.0009765625
10,001100010000101001,40.75,0.0009765625
11,001001000010111001,40.75,0.0009765625
12,110000011000100101,40.75,0.0009765625
13,001100011000110111,40.75,0.0009765625
14,000110011000011000,41.0,0.0009765625
15,001110001001010100,41.0,0.0009765625
16,100100001000000110,41.0,0.0009765625
17,010010100001011110,41.0,0.0009765625
18,000010000100010001,41.0,0.0009765625
19,000000000110011101,41.0,0.0009765625
20,110001110100100000,51.0,0.0009765625
21,011101000011101000,51.0,0.0009765625
22,000011010010111100,51.0,0.0009765625
23,110100110001100010,51.0,0.0009765625
24,011100101101100010,51.0,0.0009765625
25,110001100100110010,51.0,0.0009765625
26,000110011001100110,51.0,0.0009765625
27,100011010000101110,51.0,0.0009765625
28,100100011000111110,51.0,0.0009765625
29,110001000010111110,51.0,0.0009765625
30,000110000001100001,51.0,0.0009765625
31,010000101001100001,51.0,0.0009765625
32,000110010000110101,51.0,0.0009765625
33,110000000001110101,51.0,0.0009765625
34,010100101100000000,51.25,0.0009765625
35,100000010110000000,51.25,0.0009765625
36,011100010001000000,51.25,0.0009765625
37,111000000010001000,51.25,0.0009765625
38,010000011000000100,51.25,0.0009765625
39,011000110010000100,51.25,0.0009765625
40,000000001001010100,51.25,0.0009765625
41,000010110100001100,51.25,0.0009765625
42,110100000001001100,51.25,0.0009765625
43,000000110100010010,51.25,0.0009765625
44,101000000110000110,51.25,0.0009765625
45,101100011000010110,51.25,0.0009765625
46,110010010000001110,51.25,0.0009765625
47,100001000100100000,61.25,0.0009765625
48,110011100000110000,61.25,0.0009765625
49,110001100101110000,61.25,0.0009765625
50,101101010011101000,61.25,0.0009765625
51,110011101100100100,61.25,0.0009765625
52,110100001100101100,61.25,0.0009765625
53,110011000000111100,61.25,0.0009765625
54,001101011000111100,61.25,0.0009765625
55,000101000110100010,61.25,0.0009765625
56,000001110110101010,61.25,0.0009765625
57,100001001001101010,61.25,0.0009765625
58,011011100000101110,61.25,0.0009765625
59,010000110001101110,61.25,0.0009765625
60,010000100011101110,61.25,0.0009765625
61,100000010010100001,61.25,0.0009765625
62,100100010001110001,61.25,0.0009765625
