index,bitstring,cost,energy,probability
0,000011001001000010101010,149,897.75,0.0009765625
6,100100001001100101100000,149,1346.0,0.0009765625
7,011000100001100100100010,149,1346.0,0.0009765625
12,001100001001101100010100,149,1446.0,0.0009765625
14,001110100001101000101010,149,1446.0,0.0009765625
21,110010001001000111101010,149,1496.25,0.0009765625
23,011101100001001000000000,149,1596.25,0.0009765625
36,011000100001101000000101,149,1745.25,0.0009765625
63,100100001001101001010100,149,2044.5,0.0009765625
78,000110100001001110010001,149,2194.75,0.0009765625
112,000000001001101001011111,149,2343.75,0.0009765625
115,000011100001001101001000,149,2494.0,0.0009765625
130,010111100001101001000000,149,2643.0,0.0009765625
154,011100001001101110000001,149,2643.0,0.0009765625
172,011100100001001111101001,149,2793.25,0.0009765625
190,100110001001101011010000,149,2942.25,0.0009765625
195,001101001001101000011000,149,2942.25,0.0009765625
200,000011100001101101000100,149,2942.25,0.0009765625
201,100000001001101011100100,149,2942.25,0.0009765625
243,001000001001001001111010,149,3092.5,0.0009765625
252,111010100001100110100000,149,3141.5,0.0009765625
306,001000001001101001101111,149,3241.5,0.0009765625
419,010111100001101010101000,149,3840.0,0.0009765625
498,111100100001101100110010,149,4139.25,0.0009765625
687,100101001001101000010101,149,5037.0,0.0009765625
756,011110001001001111101110,149,5486.5,0.0009765625
824,110001100001101101101011,149,5934.75,0.0009765625
845,101010100001101011000100,149,6234.0,0.0009765625
889,111001001001101011101011,149,6533.25,0.0009765625
1018,110111001001101001111011,149,12518.25,0.0009765625
