index,bitstring,cost,energy,probability
0,110000001001001010000110,149,997.75,0.0009765625
6,011010100001000011100110,149,1496.25,0.0009765625
13,011100100001001000011000,149,1596.25,0.0009765625
55,001001001001001110011010,149,2194.75,0.0009765625
63,100010100001100110110101,149,2243.75,0.0009765625
102,000100100001011101111010,149,2544.0,0.0009765625
134,110000100001001111110001,149,2793.25,0.0009765625
135,000000100001001011001001,149,2793.25,0.0009765625
149,100001100001110100001000,149,2892.25,0.0009765625
199,000011001001111111110110,149,3291.5,0.0009765625
210,100100100001000011010001,149,3291.75,0.0009765625
211,010110001001000111101001,149,3291.75,0.0009765625
233,011101001001100100000010,149,3440.75,0.0009765625
239,100001001001110111111010,149,3490.75,0.0009765625
256,101011100001000100001010,149,3591.0,0.0009765625
278,001010001001100010011100,149,3740.0,0.0009765625
318,010110001001010000101011,149,3940.25,0.0009765625
364,101011100001001111011010,149,4289.5,0.0009765625
387,000101100001101100010110,149,4438.5,0.0009765625
403,111010100001000101111001,149,4488.75,0.0009765625
415,010100001001010101101011,149,4538.75,0.0009765625
501,110111001001000011000001,149,5087.25,0.0009765625
582,011100001001100111110100,149,5535.5,0.0009765625
698,111110100001000101010011,149,6284.25,0.0009765625
822,111001001001101111110100,149,7431.0,0.0009765625
832,010101100001000000001011,149,7481.25,0.0009765625
968,010001001001000110111111,149,9875.25,0.0009765625
