index,bitstring,energy,probability
0,010000000001010000001010101010,1071.0,0.0009765625
1,001100010001000010000110101001,1081.0,0.0009765625
2,000011000110011101000110100001,1141.0,0.0009765625
3,000000000011111111100101101001,1301.0,0.0009765625
4,001001100110001011001000100010,1371.25,0.0009765625
5,001100010000001110010101010010,1411.25,0.0009765625
6,110001001110111100100000001010,1521.25,0.0009765625
7,101100011000001110010101101001,1671.5,0.0009765625
8,100000000010010111011010010101,1671.5,0.0009765625
9,100000000100110111010101010001,1791.5,0.0009765625
10,000110101100000010010100101010,1861.75,0.0009765625
11,010000111000001010011010100000,1891.75,0.0009765625
12,110011100110010101000000001010,1891.75,0.0009765625
13,000000000101011011100110101001,1921.75,0.0009765625
14,100000000000011011101010011001,1921.75,0.0009765625
15,010000010000001110010010101001,1931.75,0.0009765625
16,001110000011100001001000100110,1941.75,0.0009765625
17,100011010110111000011001011010,2001.75,0.0009765625
18,010000100110110100110010010010,2011.75,0.0009765625
19,000000010001110010110110011010,2011.75,0.0009765625
20,001011110100111010011000101000,2041.75,0.0009765625
21,000000000101101110100111100101,2051.75,0.0009765625
22,001100110011111110101010100101,2081.75,0.0009765625
23,001000100000111111011101110111,2081.75,0.0009765625
24,100100000000000011010001100101,2122.0,0.0009765625
25,100011000001011000101001010110,2142.0,0.0009765625
26,100110001101010011001001011001,2152.0,0.0009765625
27,001011010100011011010101101010,2182.0,0.0009765625
28,100111011100010111011010000000,2192.0,0.0009765625
29,100110000100010111011010100000,2192.0,0.0009765625
30,100001011010010110101011001010,2192.0,0.0009765625
31,110010010000010110100101101001,2192.0,0.0009765625
32,100001010100011110001000010101,2222.0,0.0009765625
33,000000010100110101010110111010,2272.0,0.0009765625
34,110000001111111100101000010110,2302.0,0.0009765625
35,101101000010111011100000000001,2302.0,0.0009765625
36,000110010000110110011010110010,2312.0,0.0009765625
37,100001100110111111001001001000,2342.0,0.0009765625
38,100010000101111111101011010101,2342.0,0.0009765625
39,001011100101001101101001011001,2412.25,0.0009765625
40,000100001000011100011001111000,2442.25,0.0009765625
41,000011011110001110100101000110,2452.25,0.0009765625
42,000111001011010110100000000001,2452.25,0.0009765625
43,100010100100010111001101010111,2452.25,0.0009765625
44,000010100000011111110011100101,2482.25,0.0009765625
45,101100010010111001001010101110,2522.25,0.0009765625
46,110000000001100110000111100000,2542.25,0.0009765625
47,000001010010100110110100001011,2542.25,0.0009765625
48,100010001100111101011000010101,2562.25,0.0009765625
49,001110001100110110010110010000,2572.25,0.0009765625
50,100001110110101110000110011000,2572.25,0.0009765625
51,000001000111110111010001100010,2572.25,0.0009765625
52,000100101000110110011000000001,2572.25,0.0009765625
53,010000101010111110111010001010,2602.25,0.0009765625
54,101000000010111110010111100101,2602.25,0.0009765625
55,001100111010010000010001100010,2632.5,0.0009765625
56,011000001101001001000000101001,2632.5,0.0009765625
57,100000001010010001011111110111,2632.5,0.0009765625
58,000110010010000011111001010010,2642.5,0.0009765625
59,110010111000000010111001010101,2642.5,0.0009765625
60,011000010110011000000101011000,2662.5,0.0009765625
61,001001011000001100000110010100,2672.5,0.0009765625
62,111000100110001011010101010010,2672.5,0.0009765625
63,001001010100010101110110000110,2672.5,0.0009765625
64,000000111000001101011001101011,2672.5,0.0009765625
65,000000100001000111101010111000,2682.5,0.0009765625
66,001010000100000111101010110110,2682.5,0.0009765625
67,000100101101011010011000000010,2702.5,0.0009765625
68,100110000101010111001001000010,2712.5,0.0009765625
69,001001011000010111000101100010,2712.5,0.0009765625
70,100100110011010110000010011010,2712.5,0.0009765625
71,000110110101010110001001011010,2712.5,0.0009765625
72,000000010111010110101111010110,2712.5,0.0009765625
73,000010010100001110100111010001,2712.5,0.0009765625
74,111000110011010110000110101001,2712.5,0.0009765625
75,011000000111001111100101011001,2712.5,0.0009765625
76,001011010110011110011011001010,2742.5,0.0009765625
77,001110001101011110000101000110,2742.5,0.0009765625
78,000000111001011110001010100110,2742.5,0.0009765625
79,001000001010011111111001100110,2742.5,0.0009765625
80,000110110000011110001001011011,2742.5,0.0009765625
81,101100001001100011000111010010,2762.5,0.0009765625
82,101000001100100101010110111110,2762.5,0.0009765625
83,000100100101110011010001000010,2792.5,0.0009765625
84,001110100000100110100000100010,2802.5,0.0009765625
85,010010110100111100011101011000,2822.5,0.0009765625
86,110010111001111100100110010110,2822.5,0.0009765625
87,000100011010111010001011010110,2822.5,0.0009765625
88,000011000010101111011010110100,2832.5,0.0009765625
89,001001011001110111101001001010,2832.5,0.0009765625
90,001001000100101111011000111001,2832.5,0.0009765625
91,000011001101111111000101110110,2862.5,0.0009765625
92,100010100000111111010101100111,2862.5,0.0009765625
93,000100111100010000111001000110,2892.75,0.0009765625
94,110010100010010000110010011001,2892.75,0.0009765625
