iteration,energy,paramter,std
1,-0.24524983338671363,[1.25663706 1.25663706 5.60071428 5.60071428],0.09626348195462783
2,0.0720643664259145,[3.25663706 1.25663706 5.60071428 5.60071428],0.096998379104617
3,-0.02546183500166776,[1.25663706 3.25663706 5.60071428 5.60071428],0.09664457726110134
4,-0.030373066975362618,[1.25663706 1.25663706 7.60071428 5.60071428],0.0984108131677158
5,0.003798195254818976,[1.25663706 1.25663706 5.60071428 7.60071428],0.09756037956775887
6,0.8869845657297668,[0.00525258 0.38986435 4.75330987 4.61854947],0.1032798851081821
7,-0.09253865777362762,[0.63094482 0.8232507  5.17701207 5.10963187],0.09774013890426911
8,0.014225016824576163,[1.72037413 1.15277609 5.49917411 5.48302646],0.09817451638863003
9,0.09934948467798498,[1.25663706 1.43140522 5.42195161 5.60071428],0.1015871832920333
10,0.06472669247344921,[1.14351942 1.11859586 6.06616542 5.56192945],0.09745705858421508
11,0.0175951455769263,[1.25663706 1.08697395 5.56541112 5.78090339],0.0999569086824754
12,-0.02973114916697828,[1.13735662 1.72472572 5.48676661 5.54004211],0.09740676085898048
13,0.04861096039507965,[1.14400722 1.16049819 5.50070875 5.42586941],0.09888685391479365
14,-0.058080348885720286,[1.25881166 1.37808619 5.60095859 5.63021546],0.10038601690061447
15,-0.17760379543467508,[1.21001766 1.2556611  5.64171807 5.60782891],0.09894123989855506
16,-0.12563374691605408,[1.3458534  1.23024683 5.67127279 5.55609929],0.09751965388056062
17,-0.11225403597525647,[1.23957426 1.24290498 5.56207341 5.55674355],0.09931885611439527
18,-0.13550856935409542,[1.26924451 1.22642306 5.58663941 5.65205933],0.09782719202096926
19,-0.24675107587102477,[1.27804755 1.25251847 5.62002163 5.58938216],0.0979871782605296
20,-0.059345644000885205,[1.28167589 1.2653515  5.62314793 5.59689983],0.09813161606554824
21,-0.13096058925022758,[1.27162354 1.23042387 5.61131973 5.57011042],0.09779394572073136
22,-0.18756719351341794,[1.27525217 1.26327375 5.61899698 5.57844596],0.09715640216456713
