index,bitstring,energy,probability
0,0111001000001101100,30.5,0.0009765625
1,0111001001001001010,30.5,0.0009765625
2,0000110100001010110,30.5,0.0009765625
3,0001110110001110000,40.75,0.0009765625
4,0011010100101011000,40.75,0.0009765625
5,1101000110001000010,40.75,0.0009765625
6,1000010001101010010,40.75,0.0009765625
7,1101000010011110010,40.75,0.0009765625
8,0100100011001001010,40.75,0.0009765625
9,0011010100101101010,40.75,0.0009765625
10,1101000010001011010,40.75,0.0009765625
11,0011000100101011010,40.75,0.0009765625
12,1100000000011000110,40.75,0.0009765625
13,1100000001001101110,40.75,0.0009765625
14,0000010100101011110,40.75,0.0009765625
15,0000100100001001001,40.75,0.0009765625
16,1001000110001011001,40.75,0.0009765625
17,0000100001001101101,40.75,0.0009765625
18,0001100111000000000,41.0,0.0009765625
19,0100101000010001000,41.0,0.0009765625
20,1000010000100111000,41.0,0.0009765625
21,0000100000010111000,41.0,0.0009765625
22,0000100011000000100,41.0,0.0009765625
23,0001100010010001100,41.0,0.0009765625
24,1000000010000111010,41.0,0.0009765625
25,0000000000100111010,41.0,0.0009765625
26,1101010110001010000,51.0,0.0009765625
27,1101010000101010000,51.0,0.0009765625
28,1101110010001001000,51.0,0.0009765625
29,0111101001001001000,51.0,0.0009765625
30,1101000010001111000,51.0,0.0009765625
31,0101100011001000100,51.0,0.0009765625
32,0111000100101000100,51.0,0.0009765625
33,0100001001001100100,51.0,0.0009765625
34,1100000000111001100,51.0,0.0009765625
35,0000010100101111100,51.0,0.0009765625
36,1100000001101111100,51.0,0.0009765625
37,1100010001101111100,51.0,0.0009765625
38,1101000000011100010,51.0,0.0009765625
39,0100001000001110010,51.0,0.0009765625
40,1010010000101110010,51.0,0.0009765625
41,0100100000011110010,51.0,0.0009765625
42,0011010110001001010,51.0,0.0009765625
43,0001010100101001010,51.0,0.0009765625
44,0100100000011011010,51.0,0.0009765625
45,1100000011001100110,51.0,0.0009765625
46,0000111000011010110,51.0,0.0009765625
47,0011000100101110110,51.0,0.0009765625
48,0000110100001001110,51.0,0.0009765625
49,0011001000011011110,51.0,0.0009765625
50,0100001000011111110,51.0,0.0009765625
51,0011000010011001001,51.0,0.0009765625
52,0000001001001001101,51.0,0.0009765625
53,0000000010001111101,51.0,0.0009765625
54,0000000000010000000,51.25,0.0009765625
55,0010000001000110000,51.25,0.0009765625
56,0100001001000110000,51.25,0.0009765625
57,0000000001100110000,51.25,0.0009765625
58,0001000011010000100,51.25,0.0009765625
59,1001000110000110100,51.25,0.0009765625
60,0000000000110001100,51.25,0.0009765625
61,1000000011000000010,51.25,0.0009765625
62,0011111000011000000,61.25,0.0009765625
63,1001010110101011000,61.25,0.0009765625
64,0010110100001000100,61.25,0.0009765625
65,0110011101001000100,61.25,0.0009765625
66,0100001100011000100,61.25,0.0009765625
67,1000110011001110100,61.25,0.0009765625
68,0001010011001001100,61.25,0.0009765625
69,0010010100001011100,61.25,0.0009765625
70,0100100011001100010,61.25,0.0009765625
71,0001111110001110010,61.25,0.0009765625
72,0010110101001001010,61.25,0.0009765625
73,0111000000001101010,61.25,0.0009765625
74,0001100010011011010,61.25,0.0009765625
75,0000000101001000110,61.25,0.0009765625
76,1000010000111000110,61.25,0.0009765625
77,0010000101001011110,61.25,0.0009765625
78,1100000010011010001,61.25,0.0009765625
79,0011000000001110001,61.25,0.0009765625
80,0001000110001110001,61.25,0.0009765625
81,0011001100011011001,61.25,0.0009765625
82,0010000100100100000,61.5,0.0009765625
83,0001000100000110000,61.5,0.0009765625
84,0000000001110001000,61.5,0.0009765625
85,0001100000010011000,61.5,0.0009765625
86,0001000000110011000,61.5,0.0009765625
87,1001000010110011000,61.5,0.0009765625
88,0100001001100111000,61.5,0.0009765625
89,0010000010010111000,61.5,0.0009765625
90,0000110010010111000,61.5,0.0009765625
91,0100001001000000100,61.5,0.0009765625
92,1000000101110000100,61.5,0.0009765625
93,1001000000000100100,61.5,0.0009765625
94,0001101110000111100,61.5,0.0009765625
95,0011000000110000010,61.5,0.0009765625
96,1010000000010100010,61.5,0.0009765625
97,0000001100010100010,61.5,0.0009765625
98,1111010100001010000,71.5,0.0009765625
99,1100000000011110000,71.5,0.0009765625
100,0011111000001001000,71.5,0.0009765625
101,1101010010111001000,71.5,0.0009765625
102,1101000011001111000,71.5,0.0009765625
103,1000010100001100100,71.5,0.0009765625
104,0100000010011100100,71.5,0.0009765625
105,0000111010011100100,71.5,0.0009765625
106,1100110110001001100,71.5,0.0009765625
107,0000010011001111100,71.5,0.0009765625
108,0011111000011010010,71.5,0.0009765625
109,1000011001001101010,71.5,0.0009765625
110,1000010000111011010,71.5,0.0009765625
111,1001010010001111010,71.5,0.0009765625
112,0001010000101111010,71.5,0.0009765625
113,0001110010011000110,71.5,0.0009765625
114,0000001101001100110,71.5,0.0009765625
115,0000110010011111110,71.5,0.0009765625
116,0000101010001110001,71.5,0.0009765625
117,0000000101101110001,71.5,0.0009765625
118,0001001000001111001,71.5,0.0009765625
119,1000000110011100101,71.5,0.0009765625
120,1000100001000110000,71.75,0.0009765625
121,0011010000100001000,71.75,0.0009765625
122,1000111100000011000,71.75,0.0009765625
123,1000001101000010100,71.75,0.0009765625
124,0001000011000110100,71.75,0.0009765625
125,0000100011100001100,71.75,0.0009765625
126,0110001001010001100,71.75,0.0009765625
127,0011000100100100010,71.75,0.0009765625
128,0000100100100101010,71.75,0.0009765625
129,1001110000111000000,81.75,0.0009765625
130,0101011000001110000,81.75,0.0009765625
131,0011010010001011000,81.75,0.0009765625
132,1101110011001011000,81.75,0.0009765625
133,1101000011011011000,81.75,0.0009765625
134,0100010010001111000,81.75,0.0009765625
135,1000010000101111000,81.75,0.0009765625
136,0100101000011111000,81.75,0.0009765625
137,0110010011001000100,81.75,0.0009765625
138,1011010000001010100,81.75,0.0009765625
139,0011001000011010100,81.75,0.0009765625
140,1001000110011010100,81.75,0.0009765625
141,0110100000011011100,81.75,0.0009765625
142,1011001000011000010,81.75,0.0009765625
143,1100010000111100010,81.75,0.0009765625
144,1101000000101110010,81.75,0.0009765625
145,0101001001001011010,81.75,0.0009765625
146,0100000010001110110,81.75,0.0009765625
147,1000001100001101110,81.75,0.0009765625
148,0110001011001101110,81.75,0.0009765625
149,0000110000111101110,81.75,0.0009765625
150,0100101001101011110,81.75,0.0009765625
151,0000100100101000101,81.75,0.0009765625
152,0010000110001101101,81.75,0.0009765625
153,1100100100100010000,82.0,0.0009765625
