index,bitstring,cost,energy,probability
0,001100001001010100,10,20.5,0.0009765625
2,110000001001101001,10,30.5,0.0009765625
5,000010100001001010,10,30.75,0.0009765625
16,000010100001101001,10,40.75,0.0009765625
27,010010100001010100,10,41.0,0.0009765625
30,000010001001000010,10,41.0,0.0009765625
61,000010100001000001,10,51.25,0.0009765625
64,011111001001100000,10,61.25,0.0009765625
100,111100001001011100,10,61.5,0.0009765625
105,111000100001000110,10,61.5,0.0009765625
109,000110001001000001,10,61.5,0.0009765625
145,110111001001001000,10,71.75,0.0009765625
151,001111001001010010,10,71.75,0.0009765625
158,000100001001000101,10,71.75,0.0009765625
203,011011100001011100,10,82.0,0.0009765625
207,110001001001000010,10,82.0,0.0009765625
211,100111001001011010,10,82.0,0.0009765625
217,001011100001011110,10,82.0,0.0009765625
222,000010001001100000,10,92.0,0.0009765625
230,011111001001100100,10,92.0,0.0009765625
343,101111001001001000,10,102.5,0.0009765625
356,000101100001011010,10,102.5,0.0009765625
402,100110100001111101,10,112.5,0.0009765625
407,101100100001111011,10,112.5,0.0009765625
464,010001100001100101,10,122.75,0.0009765625
473,100101100001000100,10,123.0,0.0009765625
486,010001100001010110,10,123.0,0.0009765625
492,110100100001010001,10,123.0,0.0009765625
502,100100001001001011,10,123.0,0.0009765625
513,010101100001110110,10,133.0,0.0009765625
517,010101100001101110,10,133.0,0.0009765625
557,000100100001000011,10,133.25,0.0009765625
659,101010100001010011,10,153.75,0.0009765625
770,111011001001111101,10,184.25,0.0009765625
782,011111100001000001,10,184.5,0.0009765625
789,110110001001000011,10,184.5,0.0009765625
840,100101001001011011,10,205.0,0.0009765625
841,010011001001011011,10,205.0,0.0009765625
878,101001100001001111,10,215.25,0.0009765625
925,001111100001011111,10,235.75,0.0009765625
972,011111100001000011,10,276.75,0.0009765625
996,011101001001001011,10,307.5,0.0009765625
