index,bitstring,energy,probability
0,0000010101100000000,30.75,0.0009765625
1,0000000001000001000,41.0,0.0009765625
2,0001000000000101000,41.0,0.0009765625
3,0000000001000000100,41.0,0.0009765625
4,0000000100000111010,41.0,0.0009765625
5,0100010000101000000,51.0,0.0009765625
6,1101000100011000100,51.0,0.0009765625
7,0000010000101010110,51.0,0.0009765625
8,0000110000101010110,51.0,0.0009765625
9,0011100000011101110,51.0,0.0009765625
10,1000001100001011001,51.0,0.0009765625
11,0000011001000000000,51.25,0.0009765625
12,0000000011010110000,51.25,0.0009765625
13,0000000000000101000,51.25,0.0009765625
14,0000000000000011000,51.25,0.0009765625
15,0000001000000010100,51.25,0.0009765625
16,1000000000000011010,51.25,0.0009765625
17,1101001000001000000,61.25,0.0009765625
18,1101001000001010100,61.25,0.0009765625
19,0000010000001111010,61.25,0.0009765625
20,0011001010001001110,61.25,0.0009765625
21,0000000000001010001,61.25,0.0009765625
22,0010000000001110101,61.25,0.0009765625
23,1001000000000000000,61.5,0.0009765625
24,0000000000000100000,61.5,0.0009765625
25,1000000100010100000,61.5,0.0009765625
26,0000000110010100000,61.5,0.0009765625
27,0100000000000010000,61.5,0.0019531250000000004
28,0000010000000010000,61.5,0.0009765625
29,0001100000000110000,61.5,0.0009765625
30,0100000000010001000,61.5,0.0009765625
31,0010000000010001000,61.5,0.0009765625
32,0000001001010001000,61.5,0.0009765625
33,1001001000000101000,61.5,0.0009765625
34,0010000101000111000,61.5,0.0009765625
35,0000000111000111000,61.5,0.0009765625
36,0000000100010111000,61.5,0.0009765625
37,0000000000000000100,61.5,0.0009765625
38,0000100100100110100,61.5,0.0009765625
39,0010100000000011100,61.5,0.0009765625
40,0000000000000100010,61.5,0.0019531250000000004
41,0000000000000010010,61.5,0.0009765625
42,0000100000000010010,61.5,0.0009765625
43,0000000000000001010,61.5,0.0019531250000000004
44,0101000000001000100,71.5,0.0009765625
45,0100000000101010100,71.5,0.0009765625
46,0001000000001000110,71.5,0.0009765625
47,0100000000001010110,71.5,0.0009765625
48,0000010001001010110,71.5,0.0009765625
49,0100000000001001110,71.5,0.0009765625
50,0001000100001100001,71.5,0.0009765625
51,0000000101001110001,71.5,0.0009765625
52,0000100100101101001,71.5,0.0009765625
53,0000000000001100101,71.5,0.0009765625
54,0000000000000000000,71.75,0.0009765625
55,0100000000000000000,71.75,0.0019531250000000004
56,0000011000000000000,71.75,0.0009765625
57,1100001010000000000,71.75,0.0009765625
58,1001000000000010000,71.75,0.0009765625
59,0100000000000110000,71.75,0.0009765625
60,1000110001000011000,71.75,0.0009765625
61,0100000001010011000,71.75,0.0009765625
62,0000001101100100100,71.75,0.0009765625
63,0000000101010100100,71.75,0.0009765625
64,1100001000010001100,71.75,0.0009765625
65,0000001000000000010,71.75,0.0009765625
66,1000000000100000010,71.75,0.0009765625
67,0000000001010011010,71.75,0.0009765625
68,0000010000001000100,81.75,0.0009765625
69,0000011100001101100,81.75,0.0009765625
70,1110001010011010010,81.75,0.0009765625
71,1000110000001000110,81.75,0.0009765625
72,0001010110101100110,81.75,0.0009765625
73,0101000010011001110,81.75,0.0009765625
74,0000001001011011110,81.75,0.0009765625
75,0001000000011011001,81.75,0.0009765625
76,0000000000001000101,81.75,0.0009765625
77,0011000010001100101,81.75,0.0009765625
78,0001000000111100101,81.75,0.0009765625
79,0101000010000000000,82.0,0.0009765625
80,0111001010000000000,82.0,0.0009765625
81,0010000110000100000,82.0,0.0009765625
82,0101001010000101000,82.0,0.0009765625
83,0001000001000011000,82.0,0.0019531250000000004
84,0000110000100000100,82.0,0.0009765625
85,1000000101010110100,82.0,0.0009765625
86,0000000101010101100,82.0,0.0009765625
87,0100100001000011100,82.0,0.0009765625
88,0000000101010100010,82.0,0.0019531250000000004
89,0000100000100001010,82.0,0.0009765625
90,0001000100000101010,82.0,0.0009765625
91,0000000000010101110,82.0,0.0009765625
92,0000001000000011110,82.0,0.0009765625
93,1100000000001000000,92.0,0.0009765625
94,0001010000001001000,92.0,0.0009765625
95,0101110000001000100,92.0,0.0009765625
96,0100000000001100100,92.0,0.0009765625
97,0100010000001100100,92.0,0.0009765625
98,0100000000101100100,92.0,0.0009765625
99,0000011100011100100,92.0,0.0009765625
100,0010010011101010100,92.0,0.0009765625
101,0110000011011001100,92.0,0.0009765625
102,0000000010011000010,92.0,0.0009765625
103,0001010000001111010,92.0,0.0009765625
104,1101000001001111010,92.0,0.0009765625
105,0111000000001000110,92.0,0.0009765625
106,0010000110011001110,92.0,0.0009765625
107,1101000000011011110,92.0,0.0009765625
108,0001000010001000101,92.0,0.0009765625
109,0001101000011000101,92.0,0.0009765625
110,0010000101011010101,92.0,0.0009765625
111,0010000010001001101,92.0,0.0009765625
112,0100100000100000000,92.25,0.0009765625
113,0111000010000100000,92.25,0.0009765625
114,1010110001000110000,92.25,0.0009765625
115,0000000101010101000,92.25,0.0009765625
116,0000010000000010100,92.25,0.0009765625
117,0000010001000010100,92.25,0.0009765625
118,0000011001000010100,92.25,0.0009765625
119,1000001001100110010,92.25,0.0009765625
120,0001000110110001010,92.25,0.0009765625
121,1000001000100011010,92.25,0.0009765625
122,0000000101010011010,92.25,0.0009765625
123,0000000100000100110,92.25,0.0009765625
124,0000010101001100000,102.25,0.0009765625
125,0010110100101100000,102.25,0.0009765625
126,0000010100111100000,102.25,0.0009765625
127,0100000000001010000,102.25,0.0009765625
128,0100000001001010000,102.25,0.0009765625
129,0101000000001110000,102.25,0.0009765625
130,0100000000001001000,102.25,0.0009765625
131,1110000000001001000,102.25,0.0009765625
132,1100001010011001000,102.25,0.0009765625
133,1000010000001111000,102.25,0.0009765625
134,0010010000001111000,102.25,0.0009765625
135,0101010000101010100,102.25,0.0019531250000000004
136,0100100000101110100,102.25,0.0009765625
137,0001010000011001100,102.25,0.0009765625
138,0000010000011011100,102.25,0.0009765625
139,0001000000101111100,102.25,0.0009765625
140,0100000101001100010,102.25,0.0009765625
141,0000000000001010010,102.25,0.0019531250000000004
142,0100010000001010010,102.25,0.0009765625
143,0100010001001010010,102.25,0.0019531250000000004
144,0000000000001001010,102.25,0.0019531250000000004
