iteration,energy
1,-138.687255859375
2,-70.723388671875
3,127.386474609375
4,157.126220703125
5,-23.0400390625
6,864.296630859375
7,1028.955078125
8,-2031.633056640625
9,108.56982421875
10,395.55224609375
11,125.2451171875
12,-2022.992919921875
13,208.298828125
14,-2248.36474609375
15,-1326.075927734375
16,-132.250732421875
17,577.91650390625
18,-2429.868896484375
19,-461.0712890625
20,-901.645751953125
21,-400.536376953125
22,-165.794677734375
23,658.688232421875
24,288.5185546875
25,-2447.91357421875
26,2957.804931640625
27,842.4013671875
28,3374.560791015625
29,264.954833984375
30,-2337.183349609375
31,4500.02392578125
32,-2001.45068359375
33,4114.2548828125
34,-2588.109375
35,-1672.288818359375
36,-2632.619384765625
37,-2575.318359375
38,2525.0830078125
39,-2285.795654296875
40,-2636.510009765625
41,-2611.69482421875
42,-2587.311279296875
43,-2607.82177734375
44,-2574.313232421875
45,-2615.221435546875
46,-2586.668701171875
