iteration,energy,paramter,std
1,0.811572897959977,[0.5 0.5 0.5 0.5],0.02433680095380451
2,2.1620938804752834,[2.5 0.5 0.5 0.5],0.04036143978733728
3,0.19981528215049138,[0.5 2.5 0.5 0.5],0.018893892521622675
4,-0.5551767834330796,[0.5 2.5 2.5 0.5],0.023256944274208453
5,-0.47915897878477015,[0.5 2.5 2.5 2.5],0.017708492281095535
6,-0.3483606087394166,[-1.12174411  3.23461599  3.406616    0.40871565],0.016428902708693856
7,-0.39431998198972035,[1.20116253 2.94750622 3.05228351 0.44439229],0.02664355534372416
8,-0.3335606519887401,[0.4766352  1.59718531 2.92723445 0.45698309],0.025870759122702452
9,-0.13114724925962165,[0.09410752 2.72260742 2.68798662 0.48107221],0.02128328781821241
10,-0.7770204024848063,[0.5        2.5        2.47495491 0.25125768],0.020314880464013037
11,-0.08891938628407234,[ 0.70383635  2.43629259  2.13108248 -0.04224507],0.027034986775451034
12,-0.7019573201862873,[0.49880436 2.3027134  2.62133362 0.2048913 ],0.025176711289778764
13,-0.24452969398786134,[0.60206866 2.54333447 2.53236311 0.24547742],0.02119527329524022
14,-0.9573917525965365,[0.25447074 2.51501017 2.4560526  0.21084998],0.021651413026796643
15,-1.4014786704954514,[0.23699971 2.37770131 2.24820759 0.19895501],0.018929235066911434
16,0.15724534675364865,[0.169645   2.29520502 2.04188472 0.10628043],0.03132460970065725
17,-1.2253632893709412,[0.21203107 2.35256627 2.24958298 0.31882121],0.019465938359786744
18,-1.4490313877109666,[0.21264232 2.33268805 2.28084417 0.18406784],0.017991673514708473
19,-1.4003486099226745,[0.32383004 2.27832394 2.29762193 0.18910196],0.018587130779831394
20,-1.3099348809621614,[0.2191646  2.39362433 2.38910011 0.17182523],0.01782336438186547
21,-1.3921501682261903,[0.1955045  2.30952231 2.25405713 0.13550501],0.020408722864826614
22,-1.3503706174931913,[0.1877896  2.30420816 2.27664189 0.2336645 ],0.018197789069299964
23,-1.4577539256212344,[0.2397433  2.31746386 2.28399093 0.18341849],0.018328975531493794
24,-1.3998122582967314,[0.24291477 2.3253424  2.29278629 0.17368953],0.018812384962582432
25,-1.4295484578362296,[0.23357954 2.29952361 2.27693976 0.20723023],0.01818611610938955
26,-1.4731317973256917,[0.23330895 2.30675566 2.28569457 0.17418963],0.018362553462354787
27,-1.395952356504169,[0.23681628 2.30607884 2.25669452 0.16310809],0.019802771790396148
28,-1.4230453633748903,[0.22378385 2.2869448  2.29227617 0.19540395],0.01843060413272648
29,-1.4278867622457732,[0.23467972 2.31015723 2.29833772 0.16577289],0.018045450069927062
30,-1.3990787243314293,[0.24015046 2.30300744 2.28567919 0.17376595],0.018919642788632583
31,-1.4397358306211456,[0.2205312  2.31268718 2.2791358  0.17255578],0.018514510221500708
32,-1.447563044026757,[0.23005304 2.30433766 2.28956684 0.17962958],0.018305329740687014
33,-1.4250582291168277,[0.23461745 2.30991289 2.28578319 0.17607926],0.018256261490900493
34,-1.4362926692717286,[0.23348598 2.30717359 2.28736784 0.17329028],0.01828039098107254
35,-1.4582520219634383,[0.23107699 2.30570158 2.28268984 0.17381856],0.018075225532389598
36,-1.4627001586217978,[0.23270232 2.30583741 2.2863762  0.17565212],0.018277764135837867
37,-1.4370792720816603,[0.23482226 2.30566884 2.28510859 0.17418326],0.018251343968978314
38,-1.4367955238611776,[0.23254508 2.30682205 2.28511791 0.17400735],0.01819941184794583
39,-1.451362351935192,[0.23363167 2.30747833 2.28562609 0.1747576 ],0.018130265592443254
40,-1.4577204306300104,[0.23366157 2.30644011 2.28558169 0.17414767],0.018275962357051874
41,-1.441351205558214,[0.23338455 2.306875   2.28567064 0.17399196],0.018290594387824807
42,-1.4253221973259957,[0.23313513 2.30656168 2.28600963 0.17445667],0.018414677633444978
43,-1.440109553993972,[0.23337763 2.30686806 2.2855879  0.17436535],0.01840347595266763
44,-1.4443912625352808,[0.23315469 2.30666247 2.28553508 0.17414857],0.01786519996584566
45,-1.457474956397103,[0.23339404 2.30666965 2.28567884 0.17418585],0.01820737943207561
46,-1.4313302968896564,[0.23325949 2.30675058 2.28580385 0.17421166],0.018320188670034026
47,-1.4401391396033891,[0.23332521 2.30678904 2.28568484 0.17414217],0.0184031894684919
48,-1.484465731018494,[0.23332747 2.30677219 2.28570033 0.17420642],0.01843232992945646
49,-1.484187915260137,[0.23332085 2.30678    2.28566612 0.17425592],0.018023405907321505
50,-1.428836510399658,[0.23334994 2.30675265 2.28570122 0.17421302],0.018512784826210306
51,-1.4658366191708994,[0.23332116 2.30676793 2.28571129 0.17421382],0.01812506581300981
52,-1.482955523113522,[0.23332248 2.30679956 2.28569295 0.17419626],0.017948446826415176
53,-1.4519487523012522,[0.23331861 2.30677532 2.28571095 0.17421206],0.01802657809827887
54,-1.4743248440729078,[0.23332298 2.3067719  2.2856893  0.17421596],0.01789439523784941
55,-1.4531926237545498,[0.23332383 2.30676888 2.28569814 0.17420102],0.01852174396573391
