index,bitstring,energy,probability
0,100100011000000100,10.25,0.0009765625
1,010010100100000100,10.25,0.0009765625
2,001100010010000100,10.25,0.0009765625
3,000111001100110000,20.25,0.0009765625
4,001101000010110000,20.25,0.0009765625
5,001001000110110010,20.25,0.0009765625
6,000011110000101010,20.25,0.0009765625
7,001001010010101010,20.25,0.0009765625
8,110000000001101001,20.25,0.0009765625
9,001100010000000000,20.5,0.0009765625
10,001100000011011000,20.5,0.0009765625
11,001100000000010100,20.5,0.0009765625
12,010010100000001100,20.5,0.0009765625
13,001100010000001100,20.5,0.0009765625
14,110000001000001100,20.5,0.0009765625
15,000000000001011010,20.5,0.0009765625
16,001000000110010110,20.5,0.0009765625
17,000010010000001110,20.5,0.0009765625
18,001101110000100000,30.5,0.0009765625
19,010011101100100000,30.5,0.0009765625
20,101101010010100000,30.5,0.0009765625
21,011001000110100000,30.5,0.0009765625
22,000011100100110000,30.5,0.0009765625
23,100001000110110000,30.5,0.0009765625
24,000011110000100010,30.5,0.0009765625
25,000011010100100010,30.5,0.0029296874999999996
26,000001010110100010,30.5,0.0009765625
27,111100000001100010,30.5,0.0009765625
28,010010100001101010,30.5,0.0009765625
29,000011001000111010,30.5,0.0009765625
30,100001000010111010,30.5,0.0009765625
31,011000100101100001,30.5,0.0009765625
32,010010100101100001,30.5,0.0009765625
33,001100010011100001,30.5,0.0009765625
34,011100100000100101,30.5,0.0009765625
35,000100001000110101,30.5,0.0009765625
36,110000000000101101,30.5,0.0009765625
37,001000100001111011,30.5,0.0009765625
38,010000100100100111,30.5,0.0009765625
39,000000010000101111,30.5,0.0009765625
40,000010110000101111,30.5,0.0009765625
41,010100101001000000,30.75,0.0009765625
42,111000000001001000,30.75,0.0009765625
43,110010100001001000,30.75,0.0009765625
44,010010100000000100,30.75,0.0009765625
45,000110111000000100,30.75,0.0009765625
46,011010100100000100,30.75,0.0009765625
47,010010001100000100,30.75,0.0019531250000000004
48,110010001100000100,30.75,0.0009765625
49,011000000110000100,30.75,0.0019531250000000004
50,110000000000011100,30.75,0.0009765625
51,010010100001000010,30.75,0.0009765625
52,001100010001000010,30.75,0.0009765625
53,001000100101010010,30.75,0.0009765625
54,000000001101010010,30.75,0.0009765625
55,100000001101010010,30.75,0.0009765625
56,001000010010001010,30.75,0.0009765625
57,100000010011001010,30.75,0.0009765625
58,000000010100000110,30.75,0.0009765625
59,001000110100000110,30.75,0.0019531250000000004
60,000000000000011110,30.75,0.0019531250000000004
61,001000000010011110,30.75,0.0009765625
62,110110001001100000,40.75,0.0009765625
63,001111000000110000,40.75,0.0009765625
