index,bitstring,cost,energy,probability
6,000110001001110010,10,30.5,0.0009765625
10,100000001001011000,10,30.75,0.0009765625
27,011010100001011000,10,41.0,0.0009765625
31,001100001001001100,10,41.0,0.0009765625
32,000100100001010010,10,41.0,0.0009765625
33,010010100001010010,10,41.0,0.0009765625
45,000111100001110010,10,51.0,0.0009765625
46,100110001001110010,10,51.0,0.0009765625
62,110100100001001100,10,51.25,0.0009765625
75,100110001001100010,10,61.25,0.0009765625
111,010110001001110101,10,61.25,0.0009765625
118,000000100001000100,10,61.5,0.0009765625
125,110000001001000001,10,61.5,0.0009765625
147,100110001001101010,10,71.5,0.0009765625
169,001000100001100101,10,71.5,0.0009765625
170,010110100001111101,10,71.5,0.0009765625
176,010011100001010000,10,71.75,0.0009765625
180,011000001001000010,10,71.75,0.0009765625
213,100100100001111010,10,81.75,0.0009765625
229,001111100001110001,10,81.75,0.0009765625
260,100010001001000101,10,82.0,0.0009765625
306,110100100001110111,10,92.0,0.0009765625
332,000100100001000101,10,92.25,0.0009765625
334,100110001001000101,10,92.25,0.0009765625
437,001001001001111011,10,112.5,0.0009765625
441,100101100001010000,10,112.75,0.0009765625
452,011100100001011001,10,112.75,0.0009765625
474,111101001001100110,10,122.75,0.0009765625
493,110001100001010100,10,123.0,0.0009765625
523,100101100001100110,10,133.0,0.0009765625
556,001110100001000011,10,133.25,0.0009765625
558,010000001001011011,10,133.25,0.0009765625
587,000111100001111011,10,143.25,0.0009765625
599,001001100001010001,10,143.5,0.0009765625
645,011011100001001110,10,153.75,0.0009765625
686,001101001001000110,10,164.0,0.0009765625
800,010011001001000001,10,205.0,0.0009765625
822,010111100001000110,10,215.25,0.0009765625
870,001101100001000101,10,235.75,0.0009765625
881,011111100001111111,10,245.75,0.0009765625
885,111001001001000001,10,246.0,0.0009765625
908,100001001001000111,10,256.25,0.0009765625
939,001111100001011011,10,297.25,0.0009765625
945,111101001001011001,10,317.75,0.0009765625
968,011101001001010101,10,338.25,0.0009765625
