iteration,energy,paramter,std
1,2.0,"[3.141592653589793, 3.141592653589793, 0.0, 0.0, 0.0, 3.141592653589793, 3.141592653589793, 1.5707963267948966, 1.5707963267948966, 0.0, 1.5707963267948966, 1.5707963267948966, 3.141592653589793, 4.71238898038469, 0.0, 1.5707963267948966, 1.5707963267948966, 3.141592653589793, 1.5707963267948966, 3.141592653589793, 3.141592653589793, 4.71238898038469, 4.71238898038469, 0.0, 1.5707963267948966, 3.141592653589793, 1.5707963267948966, 0.0]",0.0
2,2.6461196601290844,"[5.141592653589793, 3.141592653589793, 0.0, 0.0, 0.0, 3.141592653589793, 3.141592653589793, 1.5707963267948966, 1.5707963267948966, 0.0, 1.5707963267948966, 1.5707963267948966, 3.141592653589793, 4.71238898038469, 0.0, 1.5707963267948966, 1.5707963267948966, 3.141592653589793, 1.5707963267948966, 3.141592653589793, 3.141592653589793, 4.71238898038469, 4.71238898038469, 0.0, 1.5707963267948966, 3.141592653589793, 1.5707963267948966, 0.0]",0.0
3,3.8266405477285366,"[3.141592653589793, 5.141592653589793, 0.0, 0.0, 0.0, 3.141592653589793, 3.141592653589793, 1.5707963267948966, 1.5707963267948966, 0.0, 1.5707963267948966, 1.5707963267948966, 3.141592653589793, 4.71238898038469, 0.0, 1.5707963267948966, 1.5707963267948966, 3.141592653589793, 1.5707963267948966, 3.141592653589793, 3.141592653589793, 4.71238898038469, 4.71238898038469, 0.0, 1.5707963267948966, 3.141592653589793, 1.5707963267948966, 0.0]",0.0
4,4.820616267470741,"[3.141592653589793, 3.141592653589793, 2.0, 0.0, 0.0, 3.141592653589793, 3.141592653589793, 1.5707963267948966, 1.5707963267948966, 0.0, 1.5707963267948966, 1.5707963267948966, 3.141592653589793, 4.71238898038469, 0.0, 1.5707963267948966, 1.5707963267948966, 3.141592653589793, 1.5707963267948966, 3.141592653589793, 3.141592653589793, 4.71238898038469, 4.71238898038469, 0.0, 1.5707963267948966, 3.141592653589793, 1.5707963267948966, 0.0]",0.0
5,4.855790919552265,"[3.141592653589793, 3.141592653589793, 0.0, 2.0, 0.0, 3.141592653589793, 3.141592653589793, 1.5707963267948966, 1.5707963267948966, 0.0, 1.5707963267948966, 1.5707963267948966, 3.141592653589793, 4.71238898038469, 0.0, 1.5707963267948966, 1.5707963267948966, 3.141592653589793, 1.5707963267948966, 3.141592653589793, 3.141592653589793, 4.71238898038469, 4.71238898038469, 0.0, 1.5707963267948966, 3.141592653589793, 1.5707963267948966, 0.0]",0.0
6,2.641495627328821,"[3.141592653589793, 3.141592653589793, 0.0, 0.0, 2.0, 3.141592653589793, 3.141592653589793, 1.5707963267948966, 1.5707963267948966, 0.0, 1.5707963267948966, 1.5707963267948966, 3.141592653589793, 4.71238898038469, 0.0, 1.5707963267948966, 1.5707963267948966, 3.141592653589793, 1.5707963267948966, 3.141592653589793, 3.141592653589793, 4.71238898038469, 4.71238898038469, 0.0, 1.5707963267948966, 3.141592653589793, 1.5707963267948966, 0.0]",0.0
7,2.8961048929036406,"[3.141592653589793, 3.141592653589793, 0.0, 0.0, 0.0, 5.141592653589793, 3.141592653589793, 1.5707963267948966, 1.5707963267948966, 0.0, 1.5707963267948966, 1.5707963267948966, 3.141592653589793, 4.71238898038469, 0.0, 1.5707963267948966, 1.5707963267948966, 3.141592653589793, 1.5707963267948966, 3.141592653589793, 3.141592653589793, 4.71238898038469, 4.71238898038469, 0.0, 1.5707963267948966, 3.141592653589793, 1.5707963267948966, 0.0]",0.0
8,2.6476313631599395,"[3.141592653589793, 3.141592653589793, 0.0, 0.0, 0.0, 3.141592653589793, 5.141592653589793, 1.5707963267948966, 1.5707963267948966, 0.0, 1.5707963267948966, 1.5707963267948966, 3.141592653589793, 4.71238898038469, 0.0, 1.5707963267948966, 1.5707963267948966, 3.141592653589793, 1.5707963267948966, 3.141592653589793, 3.141592653589793, 4.71238898038469, 4.71238898038469, 0.0, 1.5707963267948966, 3.141592653589793, 1.5707963267948966, 0.0]",0.0
9,2.6445190333905315,"[3.141592653589793, 3.141592653589793, 0.0, 0.0, 0.0, 3.141592653589793, 3.141592653589793, 3.5707963267948966, 1.5707963267948966, 0.0, 1.5707963267948966, 1.5707963267948966, 3.141592653589793, 4.71238898038469, 0.0, 1.5707963267948966, 1.5707963267948966, 3.141592653589793, 1.5707963267948966, 3.141592653589793, 3.141592653589793, 4.71238898038469, 4.71238898038469, 0.0, 1.5707963267948966, 3.141592653589793, 1.5707963267948966, 0.0]",0.0
10,3.39765625,"[3.141592653589793, 3.141592653589793, 0.0, 0.0, 0.0, 3.141592653589793, 3.141592653589793, 1.5707963267948966, 3.5707963267948966, 0.0, 1.5707963267948966, 1.5707963267948966, 3.141592653589793, 4.71238898038469, 0.0, 1.5707963267948966, 1.5707963267948966, 3.141592653589793, 1.5707963267948966, 3.141592653589793, 3.141592653589793, 4.71238898038469, 4.71238898038469, 0.0, 1.5707963267948966, 3.141592653589793, 1.5707963267948966, 0.0]",0.0
