# best_solutions_for_time
bitstring,rank,join_order,cost,time_ms,used_fallback,energy,count,probability
11111100111100110011,0,"[2, 1, 0, 3]",84,3.24249267578125,False,4.683607326186236,1,9.765625e-05
11110100110100100000,1,"[1, 0, 2, 3]",39,3.5996437072753906,False,5.767341237714543,1,9.765625e-05

# all_solutions
bitstring,index,join_order,cost,time_ms,used_fallback,energy,count,probability
11111100111100110011,0,"[2, 1, 0, 3]",84,3.24249267578125,False,4.683607326186236,1,9.765625e-05
11111100111100110011,1,"[2, 0, 1, 3]",104,3.2820701599121094,True,4.683607326186236,1,9.765625e-05
01111100011100110011,2,"[2, 1, 0, 3]",84,3.3087730407714844,False,4.683607326186237,1,9.765625e-05
01111100011100110011,3,"[2, 1, 0, 3]",84,3.3257007598876953,True,4.683607326186237,1,9.765625e-05
01111100111101010011,4,"[2, 1, 0, 3]",84,3.3445358276367188,False,4.713312064825859,1,9.765625e-05
01111100111101010011,5,"[2, 1, 0, 3]",84,3.358602523803711,True,4.713312064825859,1,9.765625e-05
01111100011110010001,6,"[2, 1, 0, 3]",84,3.3745765686035156,False,4.917512725161449,1,9.765625e-05
01111100011110010001,7,"[2, 1, 0, 3]",84,3.387451171875,True,4.917512725161449,1,9.765625e-05
11011100110101110001,8,"[2, 0, 1, 3]",104,3.4029483795166016,False,5.219411117071029,1,9.765625e-05
11011100110101110001,9,"[2, 0, 1, 3]",104,3.4155845642089844,True,5.219411117071029,1,9.765625e-05
01111100011100110010,10,"[2, 1, 0, 3]",84,3.4301280975341797,False,5.246786734840213,1,9.765625e-05
01111100011100110010,11,"[2, 1, 0, 3]",84,3.4422874450683594,True,5.246786734840213,1,9.765625e-05
01111100111110010011,12,"[2, 1, 0, 3]",84,3.4563541412353516,False,5.34292081052397,1,9.765625e-05
01111100111110010011,13,"[2, 1, 0, 3]",84,3.468036651611328,True,5.34292081052397,1,9.765625e-05
01111100110100010010,14,"[2, 1, 0, 3]",84,3.4818649291992188,False,5.480692133815423,2,0.00019531249999999998
01111100110100010010,15,"[2, 1, 0, 3]",84,3.493785858154297,True,5.480692133815423,2,0.00019531249999999998
01111100110100010010,16,"[2, 1, 0, 3]",84,3.5071372985839844,False,5.480692133815423,2,0.00019531249999999998
01111100110100010010,17,"[2, 1, 0, 3]",84,3.519296646118164,True,5.480692133815423,2,0.00019531249999999998
11011100110100110101,18,"[2, 0, 1, 3]",104,3.532886505126953,False,5.550590534042181,1,9.765625e-05
11011100110100110101,19,"[2, 0, 1, 3]",104,3.5448074340820312,True,5.550590534042181,1,9.765625e-05
01011100011100010001,20,"[2, 1, 0, 3]",84,3.570556640625,False,5.704279896250944,1,9.765625e-05
01011100011100010001,21,"[2, 0, 1, 3]",104,3.5827159881591797,True,5.704279896250944,1,9.765625e-05
11110100110100100000,22,"[1, 0, 2, 3]",39,3.5996437072753906,False,5.767341237714543,1,9.765625e-05
11110100110100100000,23,"[1, 0, 2, 3]",39,3.6122798919677734,True,5.767341237714543,1,9.765625e-05
11011100110100110100,24,"[2, 0, 1, 3]",104,3.625631332397461,False,5.980203686426014,1,9.765625e-05
11011100110100110100,25,"[2, 0, 1, 3]",104,3.637075424194336,True,5.980203686426014,1,9.765625e-05
11110000110000100000,26,"[1, 0, 3, 2]",240,3.6520957946777344,False,5.988710018100806,1,9.765625e-05
11110000110000100000,27,"[1, 0, 2, 3]",39,3.6640167236328125,True,5.988710018100806,1,9.765625e-05
11111100111100111011,28,"[2, 1, 0, 3]",84,3.6771297454833984,False,6.07682267253019,1,9.765625e-05
11111100111100111011,29,"[2, 0, 1, 3]",104,3.688812255859375,True,6.07682267253019,1,9.765625e-05
01111100011100110111,30,"[2, 1, 0, 3]",84,3.7021636962890625,False,6.0768226725301915,1,9.765625e-05
01111100011100110111,31,"[2, 1, 0, 3]",84,3.713846206665039,True,6.0768226725301915,1,9.765625e-05
01111100111001010011,32,"[2, 1, 0, 3]",84,3.726959228515625,False,6.090239286320729,2,0.00019531249999999998
01111100111001010011,33,"[2, 1, 0, 3]",84,3.7384033203125,True,6.090239286320729,2,0.00019531249999999998
01111100111001010011,34,"[2, 1, 0, 3]",84,3.7512779235839844,False,6.090239286320729,2,0.00019531249999999998
01111100111001010011,35,"[2, 1, 0, 3]",84,3.7627220153808594,True,6.090239286320729,2,0.00019531249999999998
11110001110100000100,36,"[1, 0, 3, 2]",240,3.776073455810547,False,6.116302265330567,1,9.765625e-05
11110001110100000100,37,"[1, 0, 3, 2]",240,3.7882328033447266,True,6.116302265330567,1,9.765625e-05
01011100010100110001,38,"[2, 1, 0, 3]",84,3.802061080932617,False,6.157375187698227,2,0.00019531249999999998
01011100010100110001,39,"[2, 0, 1, 3]",104,3.814220428466797,True,6.157375187698227,2,0.00019531249999999998
01011100010100110001,40,"[2, 1, 0, 3]",84,3.827333450317383,False,6.157375187698227,2,0.00019531249999999998
01011100010100110001,41,"[2, 0, 1, 3]",104,3.8390159606933594,True,6.157375187698227,2,0.00019531249999999998
01111100011101110001,42,"[2, 1, 0, 3]",84,3.8521289825439453,False,6.3088226642130145,1,9.765625e-05
01111100011101110001,43,"[2, 1, 0, 3]",84,3.8633346557617188,True,6.3088226642130145,1,9.765625e-05
01111100011100100001,44,"[2, 1, 0, 3]",84,3.8764476776123047,False,6.327060545641608,1,9.765625e-05
01111100011100100001,45,"[2, 1, 0, 3]",84,3.887653350830078,True,6.327060545641608,1,9.765625e-05
11110100110100001101,46,"[1, 0, 2, 3]",39,3.900766372680664,False,6.34144127675701,1,9.765625e-05
11110100110100001101,47,"[1, 0, 2, 3]",39,3.912687301635742,True,6.34144127675701,1,9.765625e-05
11011100110100011001,48,"[2, 0, 1, 3]",104,3.9262771606445312,False,6.341803663093118,1,9.765625e-05
11011100110100011001,49,"[2, 0, 1, 3]",104,3.937959671020508,True,6.341803663093118,1,9.765625e-05
11011100010101110000,50,"[2, 0, 1, 3]",104,3.950834274291992,False,6.356770508026067,1,9.765625e-05
11011100010101110000,51,"[2, 0, 1, 3]",104,3.962278366088867,True,6.356770508026067,1,9.765625e-05
01110100110101010001,52,"[1, 2, 0, 3]",84,3.975391387939453,False,6.434847723981734,1,9.765625e-05
01110100110101010001,53,"[1, 0, 2, 3]",39,3.986835479736328,True,6.434847723981734,1,9.765625e-05
01111100111111010001,54,"[2, 1, 0, 3]",84,4.000425338745117,False,6.469003644327637,1,9.765625e-05
01111100111111010001,55,"[2, 1, 0, 3]",84,4.011631011962891,True,6.469003644327637,1,9.765625e-05
01111100011100100010,56,"[2, 1, 0, 3]",84,4.024267196655273,False,6.503625532334034,1,9.765625e-05
01111100011100100010,57,"[2, 1, 0, 3]",84,4.035711288452148,True,6.503625532334034,1,9.765625e-05
11111100111100010001,58,"[2, 1, 0, 3]",84,4.048585891723633,False,6.503625532334034,1,9.765625e-05
11111100111100010001,59,"[2, 0, 1, 3]",104,4.060029983520508,True,6.503625532334034,1,9.765625e-05
11111100111100111001,60,"[2, 1, 0, 3]",84,4.072666168212891,False,6.506435824914022,1,9.765625e-05
