iteration,energy,paramter,std
1,-0.310265025946125,[1.25663706 1.25663706 5.60071428 5.60071428],0.09689675800232087
2,0.11058327743521035,[3.25663706 1.25663706 5.60071428 5.60071428],0.0979021471939595
3,0.006513358485166859,[1.25663706 3.25663706 5.60071428 5.60071428],0.09718760011784658
4,0.09049753348630894,[1.25663706 1.25663706 7.60071428 5.60071428],0.09855932741567287
5,-0.015785344157465485,[1.25663706 1.25663706 5.60071428 7.60071428],0.09664351333600954
6,0.4847305891130713,[0.09475381 0.38207134 4.494284   4.7877111 ],0.09861128328633822
7,-0.018580654057981108,[0.67569544 0.8193542  5.04749914 5.19421269],0.09847355016171734
8,0.208450992628152,[1.73255072 1.17426908 5.49650893 5.52414436],0.09869199320645508
9,0.16459727006214728,[1.25663706 1.45276563 5.44568659 5.60071428],0.10165753704713557
10,0.1644021994780656,[1.08897162 1.09237207 6.0410942  5.56955607],0.09797274684958011
11,-0.2526513790539299,[1.25663706 1.11598561 5.56262307 5.80385519],0.09630476831885754
12,-0.06281815364652044,[1.07796888 1.65838289 5.4526766  5.78716218],0.10037839126063201
13,0.038061548662657034,[1.12692459 1.15959958 5.44670832 5.4887296 ],0.09877386365066582
14,-0.1767325982349655,[1.23949251 1.36387786 5.59473177 5.6623153 ],0.09979701470835649
15,-0.17532873027255963,[1.30303153 1.26347446 5.55950632 5.59772142],0.09800854781951601
16,-0.07847619077500768,[1.2548772  1.22213395 5.72020116 5.58829165],0.09846029646077036
17,-0.21651894635245272,[1.20409923 1.24361639 5.57441253 5.58384103],0.09887604623521724
18,-0.043139527351755504,[1.25810675 1.2723122  5.60687857 5.57443322],0.0989069857995059
19,-0.14868161509940753,[1.25592398 1.22033613 5.6123544  5.65023691],0.09723875910282284
20,-0.11226582606495221,[1.25941083 1.26257205 5.62440614 5.58141815],0.0982213761028392
21,-0.08088833175251219,[1.24846248 1.28236405 5.59838129 5.61628405],0.09936376993123598
22,-0.10720637868884729,[1.26613071 1.25225385 5.5896861  5.59708412],0.0979375098888221
23,-0.1947296350374942,[1.26191451 1.25582302 5.60406102 5.60533167],0.09816304065745031
24,-0.2936777330331208,[1.24378017 1.24784185 5.60137077 5.60174105],0.09737682118379921
25,0.03147854188455352,[1.25531551 1.25852819 5.60473494 5.59442567],0.09901626142289482
26,-0.2760460318225807,[1.25390548 1.26102869 5.59685406 5.60511723],0.09806154502769682
27,-0.04896218218344935,[1.25455603 1.25357567 5.60038605 5.60191771],0.1004791448962974
28,-0.0715378260745792,[1.25902643 1.25664121 5.59786082 5.59952791],0.0976409151734895
29,0.003900531007889682,[1.25621101 1.25794438 5.60196651 5.60011762],0.0990402947370264
30,-0.19402199689331026,[1.25712909 1.2561063  5.6012701  5.60036652],0.09713021092428864
31,-0.1803785222864971,[1.257452   1.25695621 5.6008775  5.60245269],0.09746620164081618
32,-0.14328356352430804,[1.25594217 1.25612786 5.60030922 5.6009321 ],0.09728807522094611
33,-0.24631265106758618,[1.25712893 1.25692956 5.59999997 5.60037376],0.09794885208837036
34,-0.1024659031568664,[1.25647603 1.25703452 5.60092254 5.60060872],0.09856371861788786
35,-0.1602648200786991,[1.25686669 1.25664404 5.60070507 5.60114504],0.09649060815464292
36,-0.27224727824187095,[1.25673882 1.25665276 5.60052788 5.60059486],0.09735704456520511
37,-0.25595877774606457,[1.2567227  1.25662159 5.60078781 5.60067045],0.09771242759256601
38,-0.2636655673244757,[1.25647695 1.25645878 5.60066769 5.60071041],0.09835079161604886
39,-0.18480945256939632,[1.25656541 1.25673546 5.60071605 5.60070519],0.09943115021174397
40,-0.24244153910149344,[1.25668341 1.25661542 5.60068062 5.60081988],0.09753305229160066
41,-0.04915606977871432,[1.25660917 1.25658519 5.60070926 5.60069906],0.09716593035828977
42,-0.10083905717004192,[1.25666401 1.25665099 5.60066803 5.60068847],0.09838342649757356
43,-0.15273494416818859,[1.25662927 1.25665915 5.60073087 5.60072464],0.09848812309995696
44,-0.18721156305110837,[1.25663271 1.2566369  5.60070526 5.60072579],0.09919563086650675
45,-0.1845721056631774,[1.25666183 1.25662588 5.6007262  5.6007214 ],0.09781301682421371
46,-0.13982246132453105,[1.25662981 1.25662951 5.60071807 5.60070385],0.09951028879573637
47,-0.32224333720764187,[1.25664442 1.2566456  5.60070696 5.60070705],0.09646795418692944
48,-0.15090158951111424,[1.25664356 1.25665154 5.60071152 5.60070825],0.09771976447309799
49,-0.13837387556761152,[1.25664763 1.25664508 5.60070777 5.60070889],0.09904705035463145
50,-0.27817717077150944,[1.25663962 1.25664367 5.60070469 5.60070194],0.0986043819564804
51,0.018235883847187048,[1.25664606 1.25664443 5.60070938 5.60070489],0.0992092493246403
52,-0.10449641617464323,[1.25664258 1.2566464  5.60070128 5.60071173],0.0988214787162575
53,-0.2108705751083907,[1.256647   1.25664323 5.60070786 5.60070583],0.09755871293827911
54,-0.2329903945720479,[1.25664535 1.25664666 5.60070598 5.60070622],0.09606850117033854
55,-0.1771418642577958,[1.25664281 1.2566442  5.60070587 5.60071001],0.09786407288629367
56,-0.13042983277896805,[1.25664306 1.25664526 5.60070716 5.60070579],0.09956993608535741
57,-0.18683077142453958,[1.25664481 1.25664653 5.60070839 5.60070783],0.09823158674044749
58,-0.23845663133710607,[1.25664442 1.25664525 5.6007064  5.60070774],0.09817035007564258
59,-0.19346743048470086,[1.25664505 1.25664498 5.60070722 5.60070679],0.09905332920257066
60,-0.1805829312241957,[1.2566444  1.25664592 5.60070725 5.60070727],0.09917113555249099
