iteration,energy,paramter,std
1,24.841061392996835,[0.5 0.5 0.5 0.5],0.1060651310586319
2,23.98582795977151,[2.5 0.5 0.5 0.5],0.10727735503480525
3,22.078059694923095,[2.5 2.5 0.5 0.5],0.09242295432596519
4,19.9013475039901,[2.5 2.5 2.5 0.5],0.08224019878538318
5,19.89120063411237,[2.5 2.5 2.5 2.5],0.0763255785367043
6,20.544488903587617,[3.06672837 3.76420035 3.94241853 2.50672392],0.08996114273431147
7,20.934228610711422,[1.52743267 2.65332452 2.67493915 2.50081549],0.09111130664706589
8,21.465877138402117,[2.5        2.12398103 2.82955991 2.5       ],0.08992039534202878
9,20.514782623140608,[2.77715796 3.08801077 1.74011548 2.50151922],0.08787158112859318
10,20.44152104855727,[2.80236031 2.10907736 2.57586162 2.50165736],0.0862334602090571
11,20.98162993612707,[2.50110011 2.50245402 2.50279997 2.74996985],0.0922774666933274
12,22.51801476173617,[2.6567033  2.75957943 2.80437579 2.24423062],0.08946204842456351
13,20.779151842722932,[2.34370214 2.38922702 2.37712087 2.39655415],0.0850165358531917
14,21.19308976658164,[2.63802895 2.57584385 2.30685779 2.48020593],0.08598249690414177
15,19.860839541489202,[2.56929371 2.39936413 2.52491249 2.49132989],0.07781387277393877
16,20.316522680908353,[2.53591345 2.38924686 2.57677324 2.49099521],0.08077153182674232
17,20.315043744719112,[2.66132932 2.45481986 2.48914865 2.43841432],0.08236210106009888
18,19.841256095617386,[2.59488862 2.41772601 2.54529141 2.5413168 ],0.08050180266039997
19,20.80799813674686,[2.57873641 2.37462935 2.44991995 2.60773267],0.08449545061927292
20,20.21450679565836,[2.68273129 2.48022256 2.54144929 2.47816552],0.08111609952334113
21,20.7691845805886,[2.57079175 2.41422086 2.60236784 2.53386121],0.08516130783947953
22,20.165181697739246,[2.61329816 2.39334183 2.55119075 2.53844259],0.08219340019826467
23,19.758760375173214,[2.62368444 2.46397055 2.52442787 2.51888454],0.07796552595612807
24,19.799265438467444,[2.61398071 2.46807409 2.498814   2.53335833],0.07747381573268984
25,19.95863074969753,[2.62995093 2.46853881 2.52981936 2.53133181],0.07823282201800903
26,19.920873063813605,[2.60097317 2.47225759 2.52590971 2.49913891],0.07830224519123018
27,19.81656500326491,[2.63729359 2.44441908 2.51011442 2.50459403],0.07897631574936062
28,19.768903506718598,[2.63459142 2.4681117  2.52973523 2.52782105],0.07945843861176427
29,19.85690421656293,[2.61836775 2.45270323 2.53003398 2.52646692],0.07943897643330608
30,19.888068746482244,[2.6227101  2.46608316 2.51797371 2.52262173],0.07959186874961918
31,19.738630194899795,[2.62608222 2.4614845  2.52278844 2.51808373],0.07781094421239104
32,19.846375414887895,[2.62922565 2.46100506 2.52636144 2.51190654],0.07839692913497388
33,19.92234905300807,[2.62506219 2.45845614 2.52425133 2.51978883],0.07881668667949375
34,19.906591714225545,[2.62471155 2.46098839 2.52206293 2.51700509],0.07881874891802505
35,19.838595998714933,[2.62887342 2.46359917 2.52237586 2.5197648 ],0.07896679548336527
36,19.864155395570382,[2.6267726  2.46155573 2.52420022 2.5169262 ],0.07895008960196279
37,19.808394264405845,[2.62654448 2.46193243 2.52239272 2.5187024 ],0.07858077230418961
38,19.73626773782562,[2.62636365 2.4611376  2.52260635 2.51800815],0.07804523736700371
39,19.722973294899823,[2.62613114 2.46056682 2.52304994 2.5186222 ],0.07798038734907124
40,19.88997958088009,[2.62581641 2.4604857  2.5226913  2.5186867 ],0.07933684816116277
41,19.997511293977226,[2.62665973 2.46062206 2.52382972 2.51837089],0.07998062191014359
42,19.93410409029266,[2.62577567 2.46042962 2.52274469 2.51861461],0.0795626108706772
43,19.824913644406212,[2.62627934 2.46040133 2.52295242 2.51859494],0.07949711384299193
