index,bitstring,energy,probability
0,000011010000000001010,400.5,0.0009765625
1,010010100100000111010,400.5,0.0009765625
2,011100100000110010010,600.5,0.0009765625
3,000111001100000010000,600.75,0.0009765625
4,000000100001000100101,600.75,0.0009765625
5,001000000110001011101,600.75,0.0009765625
6,001100110000010111000,650.75,0.0009765625
7,110000010000110011010,800.75,0.0009765625
8,000011111100000001010,801.0,0.0009765625
9,000111011010000001010,801.0,0.0009765625
10,110000000110000110001,801.0,0.0009765625
11,010010100101011001000,851.0,0.0009765625
12,001100001001010010110,851.0,0.0009765625
13,100000000001011110110,851.0,0.0009765625
14,000011010011010101001,851.0,0.0009765625
15,010010100100101010000,951.0,0.0009765625
16,110100000011101001000,951.0,0.0009765625
17,000001000100101000010,951.0,0.0009765625
18,111000100001100001010,951.0,0.0009765625
19,001110010000101011010,951.0,0.0009765625
20,000000000000101111001,951.0,0.0009765625
21,000001010100110001010,1001.0,0.0009765625
22,000000000000111111001,1001.0,0.0009765625
23,110110001101000000010,1001.25,0.0009765625
24,110011000000000110010,1001.25,0.0009765625
25,110010110100000011010,1001.25,0.0009765625
26,100011001100000011010,1001.25,0.0009765625
27,000100010010001111010,1001.25,0.0009765625
28,000110110001000000110,1001.25,0.0009765625
29,000000110000000001001,1001.25,0.0009765625
30,000000000011001111011,1001.25,0.0009765625
31,000001100000011101000,1051.25,0.0009765625
32,001100000000010000010,1051.25,0.0009765625
33,110011000010011100010,1051.25,0.0009765625
34,100011010010011111010,1051.25,0.0009765625
35,001110000000011011001,1051.25,0.0009765625
36,100110001001011011001,1051.25,0.0009765625
37,010001110000100010000,1151.25,0.0009765625
38,101100011000100111000,1151.25,0.0009765625
39,000101001000101010010,1151.25,0.0009765625
40,100110001001101010010,1151.25,0.0009765625
41,000010010000100011010,1151.25,0.0009765625
42,001000000011100000110,1151.25,0.0009765625
43,001000010000101100110,1151.25,0.0009765625
44,000011011000101000101,1151.25,0.0009765625
45,100001001001110101010,1201.25,0.0009765625
46,100100001100111111010,1201.25,0.0009765625
47,000000111000110100101,1201.25,0.0009765625
48,110110000001001010000,1201.5,0.0009765625
49,010001010000000101000,1201.5,0.0009765625
50,100001010000000011000,1201.5,0.0009765625
51,110001100000000001010,1201.5,0.0009765625
52,100100101001000001010,1201.5,0.0009765625
53,000100001000001100001,1201.5,0.0009765625
54,110010001100001111001,1201.5,0.0009765625
55,000001001110001111001,1201.5,0.0009765625
56,001000000010000111011,1201.5,0.0009765625
57,100010010000000111111,1201.5,0.0009765625
58,000111110010011001000,1251.5,0.0009765625
59,100101001111011001000,1251.5,0.0009765625
60,001000010010011000110,1251.5,0.0009765625
61,001000000000011011110,1251.5,0.0009765625
62,100011010110010101001,1251.5,0.0009765625
63,000000000101011110111,1251.5,0.0009765625
64,101101011001100000000,1351.5,0.0009765625
