# best_solutions_for_time
bitstring,rank,join_order,cost,time_ms,used_fallback,energy,count,probability
1101,0,"[1, 0, 2]",15,0.8490085601806641,False,1.3831906496271777,355,0.03466796875

# all_solutions
bitstring,index,join_order,cost,time_ms,used_fallback,energy,count,probability
1101,0,"[1, 0, 2]",15,0.8490085601806641,False,1.3831906496271777,355,0.03466796875
1101,1,"[1, 0, 2]",15,0.8697509765625,True,1.3831906496271777,355,0.03466796875
1101,2,"[1, 0, 2]",15,0.8881092071533203,False,1.3831906496271777,355,0.03466796875
1101,3,"[1, 0, 2]",15,0.8974075317382812,True,1.3831906496271777,355,0.03466796875
1101,4,"[1, 0, 2]",15,0.9121894836425781,False,1.3831906496271777,355,0.03466796875
1101,5,"[1, 0, 2]",15,0.9202957153320312,True,1.3831906496271777,355,0.03466796875
1101,6,"[1, 0, 2]",15,0.9331703186035156,False,1.3831906496271777,355,0.03466796875
1101,7,"[1, 0, 2]",15,0.9410381317138672,True,1.3831906496271777,355,0.03466796875
1101,8,"[1, 0, 2]",15,0.9531974792480469,False,1.3831906496271777,355,0.03466796875
1101,9,"[1, 0, 2]",15,0.9610652923583984,True,1.3831906496271777,355,0.03466796875
1101,10,"[1, 0, 2]",15,0.9729862213134766,False,1.3831906496271777,355,0.03466796875
1101,11,"[1, 0, 2]",15,0.980377197265625,True,1.3831906496271777,355,0.03466796875
1101,12,"[1, 0, 2]",15,0.9922981262207031,False,1.3831906496271777,355,0.03466796875
1101,13,"[1, 0, 2]",15,0.9996891021728516,True,1.3831906496271777,355,0.03466796875
1101,14,"[1, 0, 2]",15,1.0111331939697266,False,1.3831906496271777,355,0.03466796875
1101,15,"[1, 0, 2]",15,1.018524169921875,True,1.3831906496271777,355,0.03466796875
1101,16,"[1, 0, 2]",15,1.0304450988769531,False,1.3831906496271777,355,0.03466796875
1101,17,"[1, 0, 2]",15,1.0380744934082031,True,1.3831906496271777,355,0.03466796875
1101,18,"[1, 0, 2]",15,1.0495185852050781,False,1.3831906496271777,355,0.03466796875
1101,19,"[1, 0, 2]",15,1.0569095611572266,True,1.3831906496271777,355,0.03466796875
1101,20,"[1, 0, 2]",15,1.0688304901123047,False,1.3831906496271777,355,0.03466796875
1101,21,"[1, 0, 2]",15,1.0759830474853516,True,1.3831906496271777,355,0.03466796875
1101,22,"[1, 0, 2]",15,1.0876655578613281,False,1.3831906496271777,355,0.03466796875
1101,23,"[1, 0, 2]",15,1.0945796966552734,True,1.3831906496271777,355,0.03466796875
1101,24,"[1, 0, 2]",15,1.1065006256103516,False,1.3831906496271777,355,0.03466796875
1101,25,"[1, 0, 2]",15,1.1136531829833984,True,1.3831906496271777,355,0.03466796875
1101,26,"[1, 0, 2]",15,1.125335693359375,False,1.3831906496271777,355,0.03466796875
1101,27,"[1, 0, 2]",15,1.1324882507324219,True,1.3831906496271777,355,0.03466796875
1101,28,"[1, 0, 2]",15,1.1441707611083984,False,1.3831906496271777,355,0.03466796875
1101,29,"[1, 0, 2]",15,1.1510848999023438,True,1.3831906496271777,355,0.03466796875
1101,30,"[1, 0, 2]",15,1.1630058288574219,False,1.3831906496271777,355,0.03466796875
1101,31,"[1, 0, 2]",15,1.1701583862304688,True,1.3831906496271777,355,0.03466796875
1101,32,"[1, 0, 2]",15,1.1813640594482422,False,1.3831906496271777,355,0.03466796875
1101,33,"[1, 0, 2]",15,1.188516616821289,True,1.3831906496271777,355,0.03466796875
1101,34,"[1, 0, 2]",15,1.2001991271972656,False,1.3831906496271777,355,0.03466796875
1101,35,"[1, 0, 2]",15,1.2140274047851562,True,1.3831906496271777,355,0.03466796875
1101,36,"[1, 0, 2]",15,1.226186752319336,False,1.3831906496271777,355,0.03466796875
1101,37,"[1, 0, 2]",15,1.2333393096923828,True,1.3831906496271777,355,0.03466796875
1101,38,"[1, 0, 2]",15,1.2447834014892578,False,1.3831906496271777,355,0.03466796875
1101,39,"[1, 0, 2]",15,1.2516975402832031,True,1.3831906496271777,355,0.03466796875
1101,40,"[1, 0, 2]",15,1.2633800506591797,False,1.3831906496271777,355,0.03466796875
1101,41,"[1, 0, 2]",15,1.270294189453125,True,1.3831906496271777,355,0.03466796875
1101,42,"[1, 0, 2]",15,1.28173828125,False,1.3831906496271777,355,0.03466796875
1101,43,"[1, 0, 2]",15,1.2886524200439453,True,1.3831906496271777,355,0.03466796875
1101,44,"[1, 0, 2]",15,1.3000965118408203,False,1.3831906496271777,355,0.03466796875
1101,45,"[1, 0, 2]",15,1.3070106506347656,True,1.3831906496271777,355,0.03466796875
1101,46,"[1, 0, 2]",15,1.3186931610107422,False,1.3831906496271777,355,0.03466796875
1101,47,"[1, 0, 2]",15,1.325845718383789,True,1.3831906496271777,355,0.03466796875
1101,48,"[1, 0, 2]",15,1.3370513916015625,False,1.3831906496271777,355,0.03466796875
1101,49,"[1, 0, 2]",15,1.3439655303955078,True,1.3831906496271777,355,0.03466796875
1101,50,"[1, 0, 2]",15,1.3554096221923828,False,1.3831906496271777,355,0.03466796875
1101,51,"[1, 0, 2]",15,1.3623237609863281,True,1.3831906496271777,355,0.03466796875
1101,52,"[1, 0, 2]",15,1.3737678527832031,False,1.3831906496271777,355,0.03466796875
1101,53,"[1, 0, 2]",15,1.38092041015625,True,1.3831906496271777,355,0.03466796875
1101,54,"[1, 0, 2]",15,1.392364501953125,False,1.3831906496271777,355,0.03466796875
1101,55,"[1, 0, 2]",15,1.3992786407470703,True,1.3831906496271777,355,0.03466796875
1101,56,"[1, 0, 2]",15,1.4104843139648438,False,1.3831906496271777,355,0.03466796875
1101,57,"[1, 0, 2]",15,1.417398452758789,True,1.3831906496271777,355,0.03466796875
1101,58,"[1, 0, 2]",15,1.4286041259765625,False,1.3831906496271777,355,0.03466796875
1101,59,"[1, 0, 2]",15,1.4357566833496094,True,1.3831906496271777,355,0.03466796875
1101,60,"[1, 0, 2]",15,1.4472007751464844,False,1.3831906496271777,355,0.03466796875
1101,61,"[1, 0, 2]",15,1.4541149139404297,True,1.3831906496271777,355,0.03466796875
1101,62,"[1, 0, 2]",15,1.4653205871582031,False,1.3831906496271777,355,0.03466796875
1101,63,"[1, 0, 2]",15,1.4722347259521484,True,1.3831906496271777,355,0.03466796875
1101,64,"[1, 0, 2]",15,1.4836788177490234,False,1.3831906496271777,355,0.03466796875
1101,65,"[1, 0, 2]",15,1.4905929565429688,True,1.3831906496271777,355,0.03466796875
1101,66,"[1, 0, 2]",15,1.5022754669189453,False,1.3831906496271777,355,0.03466796875
