iteration,energy,paramter,std
1,12.578757645067354,"[4.71238898038469, 4.71238898038469, 0.0, 1.5707963267948966, 3.141592653589793, 4.71238898038469, 4.71238898038469, 0.0, 4.71238898038469, 1.5707963267948966, 3.141592653589793, 3.141592653589793, 3.141592653589793, 0.0, 0.0, 4.71238898038469, 3.141592653589793, 3.141592653589793, 3.141592653589793, 0.0, 0.0, 0.0, 0.0, 4.71238898038469, 1.5707963267948966, 1.5707963267948966, 0.0, 1.5707963267948966, 0.0, 3.141592653589793, 4.71238898038469, 3.141592653589793, 3.141592653589793, 3.141592653589793, 0.0, 1.5707963267948966, 0.0, 4.71238898038469, 4.71238898038469, 1.5707963267948966, 3.141592653589793, 4.71238898038469, 0.0, 4.71238898038469, 3.141592653589793, 0.0, 3.141592653589793, 1.5707963267948966, 3.141592653589793, 0.0, 3.141592653589793, 4.71238898038469, 4.71238898038469, 3.141592653589793, 3.141592653589793, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.71238898038469, 4.71238898038469, 1.5707963267948966, 3.141592653589793, 4.71238898038469, 0.0, 1.5707963267948966, 0.0, 3.141592653589793, 1.5707963267948966, 1.5707963267948966, 4.71238898038469, 3.141592653589793, 1.5707963267948966, 0.0, 4.71238898038469, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 1.5707963267948966, 0.0, 0.0, 1.5707963267948966, 4.71238898038469, 1.5707963267948966, 1.5707963267948966, 0.0, 3.141592653589793, 3.141592653589793, 1.5707963267948966, 3.141592653589793, 0.0, 3.141592653589793, 0.0, 4.71238898038469, 0.0, 3.141592653589793, 3.141592653589793, 3.141592653589793, 4.71238898038469, 1.5707963267948966, 0.0, 0.0, 0.0, 4.71238898038469, 0.0, 0.0, 0.0, 1.5707963267948966, 0.0, 4.71238898038469, 4.71238898038469, 1.5707963267948966]",0.0
2,13.244078073931135,"[6.71238898038469, 4.71238898038469, 0.0, 1.5707963267948966, 3.141592653589793, 4.71238898038469, 4.71238898038469, 0.0, 4.71238898038469, 1.5707963267948966, 3.141592653589793, 3.141592653589793, 3.141592653589793, 0.0, 0.0, 4.71238898038469, 3.141592653589793, 3.141592653589793, 3.141592653589793, 0.0, 0.0, 0.0, 0.0, 4.71238898038469, 1.5707963267948966, 1.5707963267948966, 0.0, 1.5707963267948966, 0.0, 3.141592653589793, 4.71238898038469, 3.141592653589793, 3.141592653589793, 3.141592653589793, 0.0, 1.5707963267948966, 0.0, 4.71238898038469, 4.71238898038469, 1.5707963267948966, 3.141592653589793, 4.71238898038469, 0.0, 4.71238898038469, 3.141592653589793, 0.0, 3.141592653589793, 1.5707963267948966, 3.141592653589793, 0.0, 3.141592653589793, 4.71238898038469, 4.71238898038469, 3.141592653589793, 3.141592653589793, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.71238898038469, 4.71238898038469, 1.5707963267948966, 3.141592653589793, 4.71238898038469, 0.0, 1.5707963267948966, 0.0, 3.141592653589793, 1.5707963267948966, 1.5707963267948966, 4.71238898038469, 3.141592653589793, 1.5707963267948966, 0.0, 4.71238898038469, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 1.5707963267948966, 0.0, 0.0, 1.5707963267948966, 4.71238898038469, 1.5707963267948966, 1.5707963267948966, 0.0, 3.141592653589793, 3.141592653589793, 1.5707963267948966, 3.141592653589793, 0.0, 3.141592653589793, 0.0, 4.71238898038469, 0.0, 3.141592653589793, 3.141592653589793, 3.141592653589793, 4.71238898038469, 1.5707963267948966, 0.0, 0.0, 0.0, 4.71238898038469, 0.0, 0.0, 0.0, 1.5707963267948966, 0.0, 4.71238898038469, 4.71238898038469, 1.5707963267948966]",0.0
3,15.343599225132573,"[4.71238898038469, 6.71238898038469, 0.0, 1.5707963267948966, 3.141592653589793, 4.71238898038469, 4.71238898038469, 0.0, 4.71238898038469, 1.5707963267948966, 3.141592653589793, 3.141592653589793, 3.141592653589793, 0.0, 0.0, 4.71238898038469, 3.141592653589793, 3.141592653589793, 3.141592653589793, 0.0, 0.0, 0.0, 0.0, 4.71238898038469, 1.5707963267948966, 1.5707963267948966, 0.0, 1.5707963267948966, 0.0, 3.141592653589793, 4.71238898038469, 3.141592653589793, 3.141592653589793, 3.141592653589793, 0.0, 1.5707963267948966, 0.0, 4.71238898038469, 4.71238898038469, 1.5707963267948966, 3.141592653589793, 4.71238898038469, 0.0, 4.71238898038469, 3.141592653589793, 0.0, 3.141592653589793, 1.5707963267948966, 3.141592653589793, 0.0, 3.141592653589793, 4.71238898038469, 4.71238898038469, 3.141592653589793, 3.141592653589793, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.71238898038469, 4.71238898038469, 1.5707963267948966, 3.141592653589793, 4.71238898038469, 0.0, 1.5707963267948966, 0.0, 3.141592653589793, 1.5707963267948966, 1.5707963267948966, 4.71238898038469, 3.141592653589793, 1.5707963267948966, 0.0, 4.71238898038469, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 1.5707963267948966, 0.0, 0.0, 1.5707963267948966, 4.71238898038469, 1.5707963267948966, 1.5707963267948966, 0.0, 3.141592653589793, 3.141592653589793, 1.5707963267948966, 3.141592653589793, 0.0, 3.141592653589793, 0.0, 4.71238898038469, 0.0, 3.141592653589793, 3.141592653589793, 3.141592653589793, 4.71238898038469, 1.5707963267948966, 0.0, 0.0, 0.0, 4.71238898038469, 0.0, 0.0, 0.0, 1.5707963267948966, 0.0, 4.71238898038469, 4.71238898038469, 1.5707963267948966]",0.0
4,12.572012936234986,"[4.71238898038469, 4.71238898038469, 2.0, 1.5707963267948966, 3.141592653589793, 4.71238898038469, 4.71238898038469, 0.0, 4.71238898038469, 1.5707963267948966, 3.141592653589793, 3.141592653589793, 3.141592653589793, 0.0, 0.0, 4.71238898038469, 3.141592653589793, 3.141592653589793, 3.141592653589793, 0.0, 0.0, 0.0, 0.0, 4.71238898038469, 1.5707963267948966, 1.5707963267948966, 0.0, 1.5707963267948966, 0.0, 3.141592653589793, 4.71238898038469, 3.141592653589793, 3.141592653589793, 3.141592653589793, 0.0, 1.5707963267948966, 0.0, 4.71238898038469, 4.71238898038469, 1.5707963267948966, 3.141592653589793, 4.71238898038469, 0.0, 4.71238898038469, 3.141592653589793, 0.0, 3.141592653589793, 1.5707963267948966, 3.141592653589793, 0.0, 3.141592653589793, 4.71238898038469, 4.71238898038469, 3.141592653589793, 3.141592653589793, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.71238898038469, 4.71238898038469, 1.5707963267948966, 3.141592653589793, 4.71238898038469, 0.0, 1.5707963267948966, 0.0, 3.141592653589793, 1.5707963267948966, 1.5707963267948966, 4.71238898038469, 3.141592653589793, 1.5707963267948966, 0.0, 4.71238898038469, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 1.5707963267948966, 0.0, 0.0, 1.5707963267948966, 4.71238898038469, 1.5707963267948966, 1.5707963267948966, 0.0, 3.141592653589793, 3.141592653589793, 1.5707963267948966, 3.141592653589793, 0.0, 3.141592653589793, 0.0, 4.71238898038469, 0.0, 3.141592653589793, 3.141592653589793, 3.141592653589793, 4.71238898038469, 1.5707963267948966, 0.0, 0.0, 0.0, 4.71238898038469, 0.0, 0.0, 0.0, 1.5707963267948966, 0.0, 4.71238898038469, 4.71238898038469, 1.5707963267948966]",0.0
5,18.185445092418888,"[4.71238898038469, 4.71238898038469, 2.0, 3.5707963267948966, 3.141592653589793, 4.71238898038469, 4.71238898038469, 0.0, 4.71238898038469, 1.5707963267948966, 3.141592653589793, 3.141592653589793, 3.141592653589793, 0.0, 0.0, 4.71238898038469, 3.141592653589793, 3.141592653589793, 3.141592653589793, 0.0, 0.0, 0.0, 0.0, 4.71238898038469, 1.5707963267948966, 1.5707963267948966, 0.0, 1.5707963267948966, 0.0, 3.141592653589793, 4.71238898038469, 3.141592653589793, 3.141592653589793, 3.141592653589793, 0.0, 1.5707963267948966, 0.0, 4.71238898038469, 4.71238898038469, 1.5707963267948966, 3.141592653589793, 4.71238898038469, 0.0, 4.71238898038469, 3.141592653589793, 0.0, 3.141592653589793, 1.5707963267948966, 3.141592653589793, 0.0, 3.141592653589793, 4.71238898038469, 4.71238898038469, 3.141592653589793, 3.141592653589793, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.71238898038469, 4.71238898038469, 1.5707963267948966, 3.141592653589793, 4.71238898038469, 0.0, 1.5707963267948966, 0.0, 3.141592653589793, 1.5707963267948966, 1.5707963267948966, 4.71238898038469, 3.141592653589793, 1.5707963267948966, 0.0, 4.71238898038469, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 1.5707963267948966, 0.0, 0.0, 1.5707963267948966, 4.71238898038469, 1.5707963267948966, 1.5707963267948966, 0.0, 3.141592653589793, 3.141592653589793, 1.5707963267948966, 3.141592653589793, 0.0, 3.141592653589793, 0.0, 4.71238898038469, 0.0, 3.141592653589793, 3.141592653589793, 3.141592653589793, 4.71238898038469, 1.5707963267948966, 0.0, 0.0, 0.0, 4.71238898038469, 0.0, 0.0, 0.0, 1.5707963267948966, 0.0, 4.71238898038469, 4.71238898038469, 1.5707963267948966]",0.0
6,19.638212786472483,"[4.71238898038469, 4.71238898038469, 2.0, 1.5707963267948966, 5.141592653589793, 4.71238898038469, 4.71238898038469, 0.0, 4.71238898038469, 1.5707963267948966, 3.141592653589793, 3.141592653589793, 3.141592653589793, 0.0, 0.0, 4.71238898038469, 3.141592653589793, 3.141592653589793, 3.141592653589793, 0.0, 0.0, 0.0, 0.0, 4.71238898038469, 1.5707963267948966, 1.5707963267948966, 0.0, 1.5707963267948966, 0.0, 3.141592653589793, 4.71238898038469, 3.141592653589793, 3.141592653589793, 3.141592653589793, 0.0, 1.5707963267948966, 0.0, 4.71238898038469, 4.71238898038469, 1.5707963267948966, 3.141592653589793, 4.71238898038469, 0.0, 4.71238898038469, 3.141592653589793, 0.0, 3.141592653589793, 1.5707963267948966, 3.141592653589793, 0.0, 3.141592653589793, 4.71238898038469, 4.71238898038469, 3.141592653589793, 3.141592653589793, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.71238898038469, 4.71238898038469, 1.5707963267948966, 3.141592653589793, 4.71238898038469, 0.0, 1.5707963267948966, 0.0, 3.141592653589793, 1.5707963267948966, 1.5707963267948966, 4.71238898038469, 3.141592653589793, 1.5707963267948966, 0.0, 4.71238898038469, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 1.5707963267948966, 0.0, 0.0, 1.5707963267948966, 4.71238898038469, 1.5707963267948966, 1.5707963267948966, 0.0, 3.141592653589793, 3.141592653589793, 1.5707963267948966, 3.141592653589793, 0.0, 3.141592653589793, 0.0, 4.71238898038469, 0.0, 3.141592653589793, 3.141592653589793, 3.141592653589793, 4.71238898038469, 1.5707963267948966, 0.0, 0.0, 0.0, 4.71238898038469, 0.0, 0.0, 0.0, 1.5707963267948966, 0.0, 4.71238898038469, 4.71238898038469, 1.5707963267948966]",0.0
7,12.549012975408683,"[4.71238898038469, 4.71238898038469, 2.0, 1.5707963267948966, 3.141592653589793, 6.71238898038469, 4.71238898038469, 0.0, 4.71238898038469, 1.5707963267948966, 3.141592653589793, 3.141592653589793, 3.141592653589793, 0.0, 0.0, 4.71238898038469, 3.141592653589793, 3.141592653589793, 3.141592653589793, 0.0, 0.0, 0.0, 0.0, 4.71238898038469, 1.5707963267948966, 1.5707963267948966, 0.0, 1.5707963267948966, 0.0, 3.141592653589793, 4.71238898038469, 3.141592653589793, 3.141592653589793, 3.141592653589793, 0.0, 1.5707963267948966, 0.0, 4.71238898038469, 4.71238898038469, 1.5707963267948966, 3.141592653589793, 4.71238898038469, 0.0, 4.71238898038469, 3.141592653589793, 0.0, 3.141592653589793, 1.5707963267948966, 3.141592653589793, 0.0, 3.141592653589793, 4.71238898038469, 4.71238898038469, 3.141592653589793, 3.141592653589793, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.71238898038469, 4.71238898038469, 1.5707963267948966, 3.141592653589793, 4.71238898038469, 0.0, 1.5707963267948966, 0.0, 3.141592653589793, 1.5707963267948966, 1.5707963267948966, 4.71238898038469, 3.141592653589793, 1.5707963267948966, 0.0, 4.71238898038469, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 1.5707963267948966, 0.0, 0.0, 1.5707963267948966, 4.71238898038469, 1.5707963267948966, 1.5707963267948966, 0.0, 3.141592653589793, 3.141592653589793, 1.5707963267948966, 3.141592653589793, 0.0, 3.141592653589793, 0.0, 4.71238898038469, 0.0, 3.141592653589793, 3.141592653589793, 3.141592653589793, 4.71238898038469, 1.5707963267948966, 0.0, 0.0, 0.0, 4.71238898038469, 0.0, 0.0, 0.0, 1.5707963267948966, 0.0, 4.71238898038469, 4.71238898038469, 1.5707963267948966]",0.0
8,12.601544453453405,"[4.71238898038469, 4.71238898038469, 2.0, 1.5707963267948966, 3.141592653589793, 6.71238898038469, 6.71238898038469, 0.0, 4.71238898038469, 1.5707963267948966, 3.141592653589793, 3.141592653589793, 3.141592653589793, 0.0, 0.0, 4.71238898038469, 3.141592653589793, 3.141592653589793, 3.141592653589793, 0.0, 0.0, 0.0, 0.0, 4.71238898038469, 1.5707963267948966, 1.5707963267948966, 0.0, 1.5707963267948966, 0.0, 3.141592653589793, 4.71238898038469, 3.141592653589793, 3.141592653589793, 3.141592653589793, 0.0, 1.5707963267948966, 0.0, 4.71238898038469, 4.71238898038469, 1.5707963267948966, 3.141592653589793, 4.71238898038469, 0.0, 4.71238898038469, 3.141592653589793, 0.0, 3.141592653589793, 1.5707963267948966, 3.141592653589793, 0.0, 3.141592653589793, 4.71238898038469, 4.71238898038469, 3.141592653589793, 3.141592653589793, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.71238898038469, 4.71238898038469, 1.5707963267948966, 3.141592653589793, 4.71238898038469, 0.0, 1.5707963267948966, 0.0, 3.141592653589793, 1.5707963267948966, 1.5707963267948966, 4.71238898038469, 3.141592653589793, 1.5707963267948966, 0.0, 4.71238898038469, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 1.5707963267948966, 0.0, 0.0, 1.5707963267948966, 4.71238898038469, 1.5707963267948966, 1.5707963267948966, 0.0, 3.141592653589793, 3.141592653589793, 1.5707963267948966, 3.141592653589793, 0.0, 3.141592653589793, 0.0, 4.71238898038469, 0.0, 3.141592653589793, 3.141592653589793, 3.141592653589793, 4.71238898038469, 1.5707963267948966, 0.0, 0.0, 0.0, 4.71238898038469, 0.0, 0.0, 0.0, 1.5707963267948966, 0.0, 4.71238898038469, 4.71238898038469, 1.5707963267948966]",0.0
9,12.554813661586122,"[4.71238898038469, 4.71238898038469, 2.0, 1.5707963267948966, 3.141592653589793, 6.71238898038469, 4.71238898038469, 2.0, 4.71238898038469, 1.5707963267948966, 3.141592653589793, 3.141592653589793, 3.141592653589793, 0.0, 0.0, 4.71238898038469, 3.141592653589793, 3.141592653589793, 3.141592653589793, 0.0, 0.0, 0.0, 0.0, 4.71238898038469, 1.5707963267948966, 1.5707963267948966, 0.0, 1.5707963267948966, 0.0, 3.141592653589793, 4.71238898038469, 3.141592653589793, 3.141592653589793, 3.141592653589793, 0.0, 1.5707963267948966, 0.0, 4.71238898038469, 4.71238898038469, 1.5707963267948966, 3.141592653589793, 4.71238898038469, 0.0, 4.71238898038469, 3.141592653589793, 0.0, 3.141592653589793, 1.5707963267948966, 3.141592653589793, 0.0, 3.141592653589793, 4.71238898038469, 4.71238898038469, 3.141592653589793, 3.141592653589793, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.71238898038469, 4.71238898038469, 1.5707963267948966, 3.141592653589793, 4.71238898038469, 0.0, 1.5707963267948966, 0.0, 3.141592653589793, 1.5707963267948966, 1.5707963267948966, 4.71238898038469, 3.141592653589793, 1.5707963267948966, 0.0, 4.71238898038469, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 1.5707963267948966, 0.0, 0.0, 1.5707963267948966, 4.71238898038469, 1.5707963267948966, 1.5707963267948966, 0.0, 3.141592653589793, 3.141592653589793, 1.5707963267948966, 3.141592653589793, 0.0, 3.141592653589793, 0.0, 4.71238898038469, 0.0, 3.141592653589793, 3.141592653589793, 3.141592653589793, 4.71238898038469, 1.5707963267948966, 0.0, 0.0, 0.0, 4.71238898038469, 0.0, 0.0, 0.0, 1.5707963267948966, 0.0, 4.71238898038469, 4.71238898038469, 1.5707963267948966]",0.0
10,12.578731260065634,"[4.71238898038469, 4.71238898038469, 2.0, 1.5707963267948966, 3.141592653589793, 6.71238898038469, 4.71238898038469, 0.0, 6.71238898038469, 1.5707963267948966, 3.141592653589793, 3.141592653589793, 3.141592653589793, 0.0, 0.0, 4.71238898038469, 3.141592653589793, 3.141592653589793, 3.141592653589793, 0.0, 0.0, 0.0, 0.0, 4.71238898038469, 1.5707963267948966, 1.5707963267948966, 0.0, 1.5707963267948966, 0.0, 3.141592653589793, 4.71238898038469, 3.141592653589793, 3.141592653589793, 3.141592653589793, 0.0, 1.5707963267948966, 0.0, 4.71238898038469, 4.71238898038469, 1.5707963267948966, 3.141592653589793, 4.71238898038469, 0.0, 4.71238898038469, 3.141592653589793, 0.0, 3.141592653589793, 1.5707963267948966, 3.141592653589793, 0.0, 3.141592653589793, 4.71238898038469, 4.71238898038469, 3.141592653589793, 3.141592653589793, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.71238898038469, 4.71238898038469, 1.5707963267948966, 3.141592653589793, 4.71238898038469, 0.0, 1.5707963267948966, 0.0, 3.141592653589793, 1.5707963267948966, 1.5707963267948966, 4.71238898038469, 3.141592653589793, 1.5707963267948966, 0.0, 4.71238898038469, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 3.141592653589793, 1.5707963267948966, 0.0, 0.0, 1.5707963267948966, 4.71238898038469, 1.5707963267948966, 1.5707963267948966, 0.0, 3.141592653589793, 3.141592653589793, 1.5707963267948966, 3.141592653589793, 0.0, 3.141592653589793, 0.0, 4.71238898038469, 0.0, 3.141592653589793, 3.141592653589793, 3.141592653589793, 4.71238898038469, 1.5707963267948966, 0.0, 0.0, 0.0, 4.71238898038469, 0.0, 0.0, 0.0, 1.5707963267948966, 0.0, 4.71238898038469, 4.71238898038469, 1.5707963267948966]",0.0
