index,bitstring,energy,probability
0,000000000001011010,20.5,0.0009765625
1,000000000100010110,20.5,0.0009765625
2,000011000100110000,30.5,0.0009765625
3,000001000110000000,30.75,0.0009765625
4,001100000000010000,30.75,0.0009765625
5,000010000001011000,30.75,0.0009765625
6,000000000100010100,30.75,0.0009765625
7,001000010000001100,30.75,0.0009765625
8,000000110000001100,30.75,0.0009765625
9,001100000000011100,30.75,0.0009765625
10,000000000111010010,30.75,0.0009765625
11,000000010001001010,30.75,0.0009765625
12,100000010001001010,30.75,0.0009765625
13,000000010100000110,30.75,0.0009765625
14,000000010010000110,30.75,0.0009765625
15,100000000110000110,30.75,0.0009765625
16,000000000000011110,30.75,0.0019531250000000004
17,000000010000011110,30.75,0.0009765625
18,000010011000011110,30.75,0.0009765625
19,001000000100011110,30.75,0.0009765625
20,000000001001011110,30.75,0.0009765625
21,000000100001011001,30.75,0.0009765625
22,000011000010111000,40.75,0.0009765625
23,011100100000101100,40.75,0.0009765625
24,000000011000101101,40.75,0.0009765625
25,000000001000111111,40.75,0.0009765625
26,010000000100000000,41.0,0.0009765625
27,010000000001000000,41.0,0.0009765625
28,000100110001000000,41.0,0.0009765625
29,010000000101000000,41.0,0.0009765625
30,011100101000000100,41.0,0.0009765625
31,000010000100000100,41.0,0.0009765625
32,000000010100000100,41.0,0.0009765625
33,011100100110000100,41.0,0.0009765625
34,000100000000010100,41.0,0.0009765625
35,000100000100010100,41.0,0.0019531250000000004
36,000110000100010100,41.0,0.0009765625
37,110000000001010100,41.0,0.0009765625
38,010000000001001100,41.0,0.0009765625
39,000000000100000010,41.0,0.0009765625
40,000000010110000010,41.0,0.0009765625
41,010000100101001010,41.0,0.0009765625
42,000000000000011010,41.0,0.0019531250000000004
43,000010100000011010,41.0,0.0009765625
44,000000010000011010,41.0,0.0009765625
45,001000000000010110,41.0,0.0009765625
46,000000010000010110,41.0,0.0009765625
47,000000010100010110,41.0,0.0009765625
48,100000011100010110,41.0,0.0009765625
49,000000010110010110,41.0,0.0009765625
50,000000000000001110,41.0,0.0009765625
51,001000010100001110,41.0,0.0009765625
52,000000010110001110,41.0,0.0019531250000000004
53,000010000001001110,41.0,0.0009765625
54,000010010000001001,41.0,0.0009765625
55,010111100001110000,51.0,0.0009765625
56,110100001111100010,51.0,0.0009765625
57,000001000001111010,51.0,0.0009765625
58,010000000110100110,51.0,0.0009765625
59,011100101000110110,51.0,0.0009765625
60,001100001000100001,51.0,0.0009765625
61,000011000010110001,51.0,0.0009765625
62,000001010000101001,51.0,0.0009765625
63,000000000001101001,51.0,0.0009765625
64,000011000011101001,51.0,0.0009765625
65,110010000001111001,51.0,0.0009765625
66,011100001000100101,51.0,0.0009765625
67,001000010100100101,51.0,0.0009765625
68,000100000000110101,51.0,0.0009765625
69,100100000000110101,51.0,0.0009765625
70,000110000100110101,51.0,0.0009765625
71,011000010010101101,51.0,0.0009765625
72,000000000000111101,51.0,0.0009765625
73,000011100000111101,51.0,0.0009765625
74,000000000001111101,51.0,0.0009765625
75,100000000101100011,51.0,0.0009765625
76,000000000000111011,51.0,0.0009765625
