index,bitstring,energy,probability
0,011000,0.0,0.021484375
1,100100,0.0,0.018554687500000003
2,010010,0.25,0.022460937499999997
3,011010,0.25,0.021484375
4,000110,0.25,0.021484375
5,100110,0.25,0.019531250000000003
6,010110,0.25,0.027343750000000003
7,100001,0.25,0.022460937499999997
8,001001,0.25,0.0205078125
9,101001,0.25,0.019531250000000003
10,011001,0.25,0.027343750000000003
11,100101,0.25,0.022460937499999997
12,100000,0.5,0.011718749999999998
13,010000,0.5,0.012695312499999998
14,110000,0.5,0.013671875
15,001000,0.5,0.012695312499999998
16,101000,0.5,0.014648437500000002
17,111000,0.5,0.015625
18,000100,0.5,0.0107421875
19,010100,0.5,0.011718749999999998
20,110100,0.5,0.017578124999999997
21,001100,0.5,0.014648437500000002
22,101100,0.5,0.0205078125
23,011100,0.5,0.0166015625
24,000011,0.5,0.0166015625
25,100011,0.5,0.0205078125
26,010011,0.5,0.025390624999999997
27,001011,0.5,0.011718749999999998
28,011011,0.5,0.018554687500000003
29,000111,0.5,0.011718749999999998
30,100111,0.5,0.018554687500000003
31,000010,0.75,0.007812500000000002
32,100010,0.75,0.009765625000000002
33,110010,0.75,0.0166015625
34,001010,0.75,0.0087890625
35,110110,0.75,0.011718749999999998
36,001110,0.75,0.014648437500000002
37,011110,0.75,0.0166015625
38,000001,0.75,0.007812500000000002
39,010001,0.75,0.009765625000000002
40,110001,0.75,0.019531250000000003
41,111001,0.75,0.0087890625
42,000101,0.75,0.018554687500000003
43,001101,0.75,0.019531250000000003
44,101101,0.75,0.022460937499999997
45,000000,1.0,0.00390625
46,111100,1.0,0.027343750000000003
47,110011,1.0,0.028320312499999997
48,101011,1.0,0.022460937499999997
49,010111,1.0,0.013671875
50,001111,1.0,0.015625
51,101010,1.25,0.0107421875
52,111010,1.25,0.005859374999999999
53,101110,1.25,0.009765625000000002
54,010101,1.25,0.0087890625
55,110101,1.25,0.013671875
56,011101,1.25,0.013671875
57,111011,1.5,0.011718749999999998
58,110111,1.5,0.013671875
59,101111,1.5,0.0107421875
60,011111,1.5,0.015625
61,111110,1.75,0.007812500000000002
62,111101,1.75,0.0087890625
63,111111,2.5,0.004882812500000001
