index,bitstring,energy,probability
0,011000,0.0,0.0009765625
1,100100,0.0,0.0029296874999999996
3,011010,0.25,0.0166015625
4,000110,0.25,0.052734375
5,100110,0.25,0.017578124999999997
6,010110,0.25,0.052734375
8,001001,0.25,0.033203125
9,101001,0.25,0.041015625
10,011001,0.25,0.0341796875
11,100101,0.25,0.0244140625
15,001000,0.5,0.0009765625
16,101000,0.5,0.017578124999999997
17,111000,0.5,0.028320312499999997
18,000100,0.5,0.0009765625
19,010100,0.5,0.0166015625
20,110100,0.5,0.021484375
27,001011,0.5,0.0322265625
28,011011,0.5,0.023437499999999997
29,000111,0.5,0.03710937499999999
30,100111,0.5,0.030273437499999997
34,001010,0.75,0.009765625000000002
35,110110,0.75,0.006835937500000001
41,111001,0.75,0.009765625000000002
42,000101,0.75,0.0087890625
48,101011,1.0,0.0029296874999999996
49,010111,1.0,0.0009765625
51,101010,1.25,0.0029296874999999996
52,010101,1.25,0.004882812500000001
53,110101,1.25,0.0009765625
54,110111,1.5,0.0009765625
