iteration,energy
1,-6.373291015625
2,-1.909912109375
3,-5.762451171875
4,-1.4794921875
5,-0.85546875
6,-35.03857421875
7,29.513427734374996
8,11.808837890625
9,-23.426513671875
10,60.957763671875
11,0.049072265625
12,106.385986328125
13,128.02099609375
14,-2.963623046875
15,-23.57861328125
16,-30.86474609375
17,-28.025390625
18,-19.534423828125
19,-43.906982421875
20,-44.83129882812501
21,-20.688476562500004
22,-69.379150390625
23,-71.98583984375
24,-84.76318359375
25,140.7138671875
