index,bitstring,energy,probability
1,010110100001100010,30.5,0.0009765625
2,000110001001110010,30.5,0.0009765625
24,100100001001110111,40.75,0.0009765625
27,000000100001111111,40.75,0.0009765625
35,010110100001000100,41.0,0.0009765625
38,000010001001011100,41.0,0.0009765625
47,010011001001100000,51.0,0.0009765625
58,110000100001100110,51.0,0.0009765625
60,110100100001101110,51.0,0.0009765625
63,010010001001100001,51.0,0.0009765625
86,000000001001000001,51.25,0.0009765625
96,111100001001101100,61.25,0.0009765625
141,000110001001010101,61.5,0.0009765625
143,001000100001011011,61.5,0.0009765625
160,001110100001101010,71.5,0.0009765625
213,011000100001110000,81.75,0.0009765625
215,011101100001110100,81.75,0.0009765625
216,010111001001110100,81.75,0.0009765625
268,001110001001010101,82.0,0.0009765625
338,011101001001110100,102.25,0.0009765625
339,010101100001101100,102.25,0.0009765625
364,111010100001111101,102.25,0.0009765625
385,111110100001000010,102.5,0.0009765625
388,011010001001000110,102.5,0.0009765625
390,000011100001010110,102.5,0.0009765625
397,011100100001010001,102.5,0.0009765625
434,101110100001110101,112.5,0.0009765625
460,010100100001000001,112.75,0.0009765625
514,101000100001001111,123.0,0.0009765625
551,001101001001011010,133.25,0.0009765625
694,110001001001000110,164.0,0.0009765625
703,001011100001011101,164.0,0.0009765625
736,100010100001100000,184.25,0.0009765625
759,010101100001011100,184.5,0.0009765625
795,001111001001010001,194.75,0.0009765625
865,001101001001010101,225.5,0.0009765625
883,011101100001011110,235.75,0.0009765625
907,111011100001011001,246.0,0.0009765625
908,011001001001011001,246.0,0.0009765625
921,000101100001011101,256.25,0.0009765625
962,111101001001010001,307.5,0.0009765625
985,100111001001011111,328.0,0.0009765625
988,101111001001011011,338.25,0.0009765625
997,010001001001000111,348.5,0.0009765625
1013,011111100001011011,410.0,0.0009765625
