index,bitstring,energy,prob
0,000110001001010100,20.5,0.0009765625
1,011001100100100000,30.5,0.0009765625
2,000011000010111010,30.5,0.0009765625
3,110100001001100101,30.5,0.0009765625
4,001000010000001100,30.75,0.0009765625
5,000010000001010010,30.75,0.0009765625
6,000000100001001010,30.75,0.0009765625
7,001101100000110000,40.75,0.0009765625
8,001111010000101000,40.75,0.0009765625
9,100001000110111000,40.75,0.0009765625
10,001100100001110110,40.75,0.0009765625
11,110000010010101111,40.75,0.0009765625
12,000011001000001000,41.0,0.0009765625
13,001001000010001000,41.0,0.0009765625
14,011100110001001000,41.0,0.0009765625
15,000000001100000100,41.0,0.0009765625
16,001100101000010100,41.0,0.0009765625
17,110000111000001100,41.0,0.0009765625
18,000010010000011010,41.0,0.0009765625
19,011100101001101000,51.0,0.0009765625
20,010111101001101000,51.0,0.0009765625
21,010111001100100100,51.0,0.0009765625
22,000011110000111100,51.0,0.0009765625
23,001001000010100010,51.0,0.0009765625
24,110000100000101010,51.0,0.0009765625
25,010000100110100110,51.0,0.0009765625
26,110100100100110110,51.0,0.0009765625
27,110100101000101110,51.0,0.0009765625
28,110000001100111110,51.0,0.0009765625
29,101100010000100001,51.0,0.0009765625
30,000010000101110001,51.0,0.0009765625
31,010100111000100101,51.0,0.0009765625
32,001110000001110101,51.0,0.0009765625
33,011010110000101101,51.0,0.0009765625
34,001000000111100011,51.0,0.0009765625
35,110000001101110011,51.0,0.0009765625
36,110000001000100111,51.0,0.0009765625
37,001000000010101111,51.0,0.0009765625
38,000110000100010000,51.25,0.0009765625
39,110010000101010000,51.25,0.0009765625
40,011010110100000100,51.25,0.0009765625
41,010000100010000100,51.25,0.0009765625
42,000110101001000100,51.25,0.0009765625
43,110010100101000100,51.25,0.0009765625
44,011110100000010100,51.25,0.0009765625
45,000000110010001100,51.25,0.0009765625
46,110110001001001100,51.25,0.0009765625
47,000110111000000010,51.25,0.0009765625
48,010010101000001110,51.25,0.0009765625
49,001000000100001101,51.25,0.0009765625
50,110111110000100000,61.25,0.0009765625
51,010011100010110000,61.25,0.0009765625
52,000001100011111000,61.25,0.0009765625
53,011111100000110100,61.25,0.0009765625
54,110110001000101100,61.25,0.0009765625
55,100101011010111100,61.25,0.0009765625
56,110000100110100010,61.25,0.0009765625
57,010011000001100010,61.25,0.0009765625
58,010010001101100010,61.25,0.0009765625
59,001111000011100010,61.25,0.0009765625
60,000011110110110010,61.25,0.0009765625
61,000001100011110010,61.25,0.0009765625
62,100001000010100110,61.25,0.0009765625
63,010100100101100110,61.25,0.0009765625
64,010100001101100110,61.25,0.0009765625
65,010100000011100110,61.25,0.0009765625
66,000111110000101110,61.25,0.0009765625
67,010011100100110001,61.25,0.0009765625
68,001100101101110001,61.25,0.0009765625
69,110000110010101001,61.25,0.0009765625
70,000100011010101001,61.25,0.0009765625
71,000100001010100101,61.25,0.0009765625
72,000011011100110101,61.25,0.0009765625
73,000010000110110101,61.25,0.0009765625
74,010010001100100011,61.25,0.0009765625
75,100100011010100011,61.25,0.0009765625
76,100000100000111111,61.25,0.0009765625
77,000100101101000000,61.5,0.0009765625
78,000000100000001000,61.5,0.0009765625
79,001011010100001000,61.5,0.0009765625
80,011100010010001000,61.5,0.0009765625
81,001000010110001000,61.5,0.0009765625
82,110100111001001000,61.5,0.0009765625
83,010010110000011000,61.5,0.0009765625
84,001110001100010010,61.5,0.0009765625
85,000011000010011010,61.5,0.0009765625
86,110000010001000110,61.5,0.0009765625
87,100010110000001110,61.5,0.0009765625
88,100100000000011110,61.5,0.0009765625
89,000100001010011110,61.5,0.0009765625
90,001000100011011101,61.5,0.0009765625
91,001001110000110000,71.5,0.0009765625
92,001111100000101100,71.5,0.0009765625
93,110000001000110010,71.5,0.0009765625
94,000100000010110010,71.5,0.0009765625
95,001100111000101010,71.5,0.0009765625
96,110000011010101010,71.5,0.0009765625
97,000000001001111010,71.5,0.0009765625
98,010001100010100110,71.5,0.0009765625
99,000100100001100110,71.5,0.0009765625
100,110110010000101110,71.5,0.0009765625
101,001011000010101110,71.5,0.0009765625
102,110000101000100001,71.5,0.0009765625
103,110000110010100001,71.5,0.0009765625
104,000000100111110001,71.5,0.0009765625
105,000000000010101001,71.5,0.0009765625
106,001100100101111001,71.5,0.0009765625
107,011110010000100101,71.5,0.0009765625
108,100000000011100101,71.5,0.0009765625
109,001000011000100011,71.5,0.0009765625
110,100000000010100011,71.5,0.0009765625
111,000000111001100011,71.5,0.0009765625
112,000100100100110011,71.5,0.0009765625
113,001100101100110011,71.5,0.0009765625
114,100110001101110011,71.5,0.0009765625
115,000100010000101011,71.5,0.0009765625
116,100100011011101011,71.5,0.0009765625
117,011000000011100111,71.5,0.0009765625
118,001011011000000000,71.75,0.0009765625
119,000000101001000000,71.75,0.0009765625
120,011110000011000000,71.75,0.0009765625
121,010011101100010000,71.75,0.0009765625
122,010000011100001000,71.75,0.0009765625
123,110010101000000100,71.75,0.0009765625
124,110010010110000100,71.75,0.0009765625
125,000001001110001100,71.75,0.0009765625
126,010011100000011100,71.75,0.0009765625
127,000110110001011100,71.75,0.0009765625
128,000011111000001010,71.75,0.0009765625
129,000001000011001010,71.75,0.0009765625
130,110100001011000110,71.75,0.0009765625
131,100110001000001110,71.75,0.0009765625
132,100000001000000001,71.75,0.0009765625
133,000000011010011001,71.75,0.0009765625
134,000010011001010101,71.75,0.0009765625
135,001010100101010101,71.75,0.0009765625
136,011111110110100000,81.75,0.0009765625
137,110011101000110000,81.75,0.0009765625
138,010111000000111000,81.75,0.0009765625
139,010100101000111000,81.75,0.0009765625
140,101111011000100100,81.75,0.0009765625
141,110000100101100100,81.75,0.0009765625
142,011111000110110100,81.75,0.0009765625
143,110111010000101100,81.75,0.0009765625
144,011111111000101100,81.75,0.0009765625
145,011000010001100010,81.75,0.0009765625
146,001001001011101010,81.75,0.0009765625
147,010000001000111010,81.75,0.0009765625
148,010011000101111010,81.75,0.0009765625
149,011111100000100110,81.75,0.0009765625
150,001101000111110110,81.75,0.0009765625
151,110001000001101110,81.75,0.0009765625
152,011100100101111110,81.75,0.0009765625
153,001011010001100001,81.75,0.0009765625
154,000111011001110001,81.75,0.0009765625
155,100110010000101001,81.75,0.0009765625
156,010000001010101001,81.75,0.0009765625
157,110010000110101001,81.75,0.0009765625
158,001010100000111001,81.75,0.0009765625
159,101000000010111001,81.75,0.0009765625
160,000000101101111001,81.75,0.0009765625
161,010100000001110101,81.75,0.0009765625
162,001001000111110101,81.75,0.0009765625
163,001000001100101101,81.75,0.0009765625
164,100000011110101101,81.75,0.0009765625
165,010000000101111101,81.75,0.0009765625
166,000110111100100011,81.75,0.0009765625
167,000001000011101011,81.75,0.0009765625
168,100010000101100111,81.75,0.0009765625
169,010000100111110111,81.75,0.0009765625
170,100000110100111111,81.75,0.0009765625
171,100000100011111111,81.75,0.0009765625
172,001110010101000000,82.0,0.0009765625
173,001011001001010000,82.0,0.0009765625
174,001011100111010000,82.0,0.0009765625
175,110011000100011000,82.0,0.0009765625
176,010100111010000100,82.0,0.0009765625
177,110010101000010100,82.0,0.0009765625
178,000111101000010100,82.0,0.0009765625
179,010011000100010100,82.0,0.0009765625
180,011001000110001100,82.0,0.0009765625
181,101100010110001100,82.0,0.0009765625
182,000011010001011100,82.0,0.0009765625
183,000010110110000010,82.0,0.0009765625
184,010100000001000010,82.0,0.0009765625
185,111000001001010010,82.0,0.0009765625
186,001100001101001010,82.0,0.0009765625
187,001001100000011010,82.0,0.0009765625
188,100001001110011010,82.0,0.0009765625
189,011110100001011010,82.0,0.0009765625
190,100000101100001110,82.0,0.0009765625
191,011000010010011110,82.0,0.0009765625
192,001100110011000001,82.0,0.0009765625
193,001010010100010001,82.0,0.0009765625
194,100100000001010101,82.0,0.0009765625
195,000010000011011011,82.0,0.0009765625
196,000110001100100000,92.0,0.0009765625
197,101111000110100000,92.0,0.0009765625
198,010000000001100000,92.0,0.0009765625
199,001110100001100000,92.0,0.0009765625
200,111110000001110000,92.0,0.0009765625
201,100001110100101000,92.0,0.0009765625
202,010110001100101000,92.0,0.0009765625
203,100001110001101000,92.0,0.0009765625
204,110000010100101100,92.0,0.0009765625
205,010010001001101100,92.0,0.0009765625
206,011011000011101100,92.0,0.0009765625
207,000111110100101010,92.0,0.0009765625
208,110010000010101010,92.0,0.0009765625
209,001100100010101010,92.0,0.0009765625
210,010010100111100110,92.0,0.0009765625
211,101001001110110110,92.0,0.0009765625
212,000011000101101110,92.0,0.0009765625
213,000001100011101110,92.0,0.0009765625
214,101100001100111110,92.0,0.0009765625
215,111001100010111110,92.0,0.0009765625
216,001000011100101001,92.0,0.0009765625
217,011011100100110101,92.0,0.0009765625
218,100110101001110101,92.0,0.0009765625
219,111100000110100011,92.0,0.0009765625
220,001001100110100011,92.0,0.0009765625
221,010110111001100011,92.0,0.0009765625
222,100110100001110011,92.0,0.0009765625
223,110010010100101011,92.0,0.0009765625
