index,bitstring,cost,energy,probability
1,010010100001001110,0,300.5,0.0009765625
4,001100001001010100,0,450.75,0.0009765625
8,111000100001001010,0,450.75,0.0009765625
32,001010100001011001,0,601.0,0.0009765625
46,011010100001111010,0,751.0,0.0009765625
71,011010100001010010,0,751.25,0.0009765625
94,110100001001001001,0,751.25,0.0009765625
107,000000001001010111,0,751.25,0.0009765625
122,000100100001100110,0,901.25,0.0009765625
148,000100100001011100,0,901.5,0.0009765625
151,001001100001000010,0,901.5,0.0009765625
187,100000100001010101,0,901.5,0.0009765625
258,000101001001010110,0,1051.75,0.0009765625
274,111000001001001101,0,1051.75,0.0009765625
295,011100001001101001,0,1201.75,0.0009765625
319,100011001001001110,0,1202.0,0.0009765625
348,010001100001110100,0,1352.0,0.0009765625
351,000001100001111100,0,1352.0,0.0009765625
360,001001001001101001,0,1352.0,0.0009765625
365,111100001001110101,0,1352.0,0.0009765625
366,011100001001101101,0,1352.0,0.0009765625
398,001010001001001110,0,1352.25,0.0009765625
508,000100100001001111,0,1502.5,0.0009765625
525,101101001001100110,0,1652.5,0.0009765625
538,110110100001111001,0,1652.5,0.0009765625
580,100110100001001101,0,1652.75,0.0009765625
654,011100100001011111,0,1803.0,0.0009765625
930,111001001001010111,0,3155.25,0.0009765625
