index,bitstring,energy,probability
0,000100001001001001000,500.5,0.0009765625
1,000100001001101001000,670.5,0.0009765625
2,000001000110101001001,670.5,0.0009765625
3,001100010000100011001,670.5,0.0009765625
4,001101100001001000000,750.75,0.0009765625
5,000101001001001000000,750.75,0.0009765625
6,011100110000000100000,750.75,0.0009765625
7,100101011010000100000,750.75,0.0009765625
8,111100100001000100000,750.75,0.0009765625
9,000101011000000001000,750.75,0.0009765625
10,110000100000001111010,750.75,0.0009765625
11,110000000001001111010,750.75,0.0009765625
12,000000000001001100110,750.75,0.0009765625
13,000000000001001101001,750.75,0.0009765625
14,010000110000000111001,750.75,0.0009765625
15,000000000100001000101,750.75,0.0019531250000000004
16,000000010000000111101,750.75,0.0009765625
17,010011101100010010000,830.75,0.0009765625
18,000111000000101000000,920.75,0.0009765625
19,001101110000100100000,920.75,0.0009765625
20,110001000110101110000,920.75,0.0009765625
21,000100001001101101000,920.75,0.0009765625
22,000100011000100110010,920.75,0.0009765625
23,000011000101101001010,920.75,0.0009765625
24,001100000011100001001,920.75,0.0009765625
25,000000000001101101001,920.75,0.0009765625
26,010010100100101011001,920.75,0.0009765625
27,010001100001000000000,1001.0,0.0009765625
28,000100001001000000000,1001.0,0.0009765625
29,110100100000001010000,1001.0,0.0009765625
30,011001100100001010000,1001.0,0.0009765625
31,010100011000000110000,1001.0,0.0009765625
32,011001100010000110000,1001.0,0.0009765625
33,010011100010000110000,1001.0,0.0009765625
34,110000001100000100010,1001.0,0.0009765625
35,000100111000000001010,1001.0,0.0009765625
36,011000000011000001010,1001.0,0.0009765625
37,000001000100001101010,1001.0,0.0009765625
38,000110100001001101010,1001.0,0.0009765625
39,000000000011001101010,1001.0,0.0009765625
40,110000010000000010110,1001.0,0.0009765625
41,000000000000001110110,1001.0,0.0009765625
42,000010000000001110110,1001.0,0.0009765625
43,001000100000001110110,1001.0,0.0009765625
44,010000100100001111001,1001.0,0.0009765625
45,000000010000000100111,1001.0,0.0009765625
46,101101000011100000000,1171.0,0.0009765625
47,010001100000101100000,1171.0,0.0009765625
48,000001000010101100000,1171.0,0.0009765625
49,110100000000101010000,1171.0,0.0009765625
50,001100011000100110000,1171.0,0.0009765625
51,000100001001100010010,1171.0,0.0009765625
52,110000000000101110010,1171.0,0.0009765625
53,001100011000101110010,1171.0,0.0009765625
54,010000110000100001010,1171.0,0.0009765625
55,001101011000100001010,1171.0,0.0009765625
56,001100010000101101010,1171.0,0.0009765625
57,010000000100101011010,1171.0,0.0009765625
58,001100010000100100110,1171.0,0.0009765625
59,000000010000100011001,1171.0,0.0009765625
60,010000000100100011001,1171.0,0.0009765625
61,000111000100111000010,1251.0,0.0009765625
62,000001000010000100000,1251.25,0.0009765625
63,010000000001000100000,1251.25,0.0009765625
64,001100000000001110000,1251.25,0.0009765625
65,101001000010001101000,1251.25,0.0009765625
66,100011000001001101000,1251.25,0.0009765625
67,000001010010001011000,1251.25,0.0009765625
68,111000000110001010010,1251.25,0.0009765625
69,010001000110001010010,1251.25,0.0009765625
70,000001010000000110010,1251.25,0.0009765625
71,010001110000000110010,1251.25,0.0009765625
72,010100011000000110010,1251.25,0.0009765625
73,100110001100001001010,1251.25,0.0009765625
74,101100010000000101010,1251.25,0.0009765625
75,110100100001000101010,1251.25,0.0009765625
76,010000000000000011010,1251.25,0.0009765625
77,000001010000000011010,1251.25,0.0009765625
78,000001000100001111010,1251.25,0.0009765625
79,101001000010001111010,1251.25,0.0009765625
80,000001001010001111010,1251.25,0.0009765625
81,110000100101001111010,1251.25,0.0009765625
82,001110010000000000110,1251.25,0.0009765625
83,000011000111001100110,1251.25,0.0009765625
84,001110000000001010110,1251.25,0.0009765625
85,000000001100000110110,1251.25,0.0009765625
86,000100000001000001001,1251.25,0.0009765625
87,000000010000001000101,1251.25,0.0009765625
88,000000001000000110111,1251.25,0.0009765625
89,010110110000010111000,1331.25,0.0009765625
90,001101010011010101010,1331.25,0.0009765625
91,000001000000011111010,1331.25,0.0009765625
92,100000000000010110110,1331.25,0.0009765625
93,001010100001011000101,1331.25,0.0009765625
94,000001000100101000000,1421.25,0.0009765625
95,000001000010101110000,1421.25,0.0009765625
96,110000010000100001000,1421.25,0.0009765625
97,000100001010101011000,1421.25,0.0009765625
98,010010100100101000100,1421.25,0.0009765625
99,111000000100100000010,1421.25,0.0009765625
100,110011001110100000010,1421.25,0.0009765625
101,001100000000101100010,1421.25,0.0009765625
102,000001010010101010010,1421.25,0.0009765625
103,110000100001101010010,1421.25,0.0009765625
104,110100000000100110010,1421.25,0.0009765625
105,000011101101101001010,1421.25,0.0009765625
106,010000000000100101010,1421.25,0.0009765625
107,000001000000100101010,1421.25,0.0009765625
108,110000010100100101010,1421.25,0.0009765625
109,001000000000101111010,1421.25,0.0009765625
110,101000000001101100110,1421.25,0.0009765625
111,000000000000100110110,1421.25,0.0009765625
112,000011001000100100001,1421.25,0.0009765625
113,000000000000101011001,1421.25,0.0009765625
114,001010000001101000101,1421.25,0.0009765625
115,000000000100100100101,1421.25,0.0009765625
116,001000100101100100101,1421.25,0.0009765625
117,100000010001100001101,1421.25,0.0009765625
118,000000000000101100111,1421.25,0.0009765625
119,110011101100111000000,1501.25,0.0009765625
120,000011000000111110000,1501.25,0.0009765625
121,010011101100111110000,1501.25,0.0009765625
122,010000000001111001010,1501.25,0.0009765625
