index,bitstring,cost,energy,probability
2,110100001001000000,0,0.0,0.0019531250000000004
3,110100001001100000,0,150.0,0.0009765625
14,001100001001010010,0,150.25,0.0019531250000000004
15,010000100001001010,0,150.25,0.0019531250000000004
16,011000100001001010,0,150.25,0.0009765625
18,010011100001101000,0,300.25,0.0009765625
23,011100100001100010,0,300.25,0.0009765625
24,011000100001101010,0,300.25,0.0009765625
37,010100100001000000,0,300.5,0.0009765625
38,011100001001000000,0,300.5,0.0009765625
44,000110001001010000,0,300.5,0.0009765625
48,010000100001001000,0,300.5,0.0009765625
49,010010100001001000,0,300.5,0.0019531250000000004
61,001100100001000010,0,300.5,0.0009765625
64,010011100001001010,0,300.5,0.0009765625
65,000011100001011010,0,300.5,0.0009765625
71,000100001001010110,0,300.5,0.0009765625
80,001100001001010001,0,300.5,0.0009765625
82,001000100001011001,0,300.5,0.0009765625
83,000010100001011001,0,300.5,0.0009765625
84,000010001001011001,0,300.5,0.0009765625
96,110000100001101000,0,450.5,0.0009765625
101,001100001001100010,0,450.5,0.0009765625
107,000100001001110110,0,450.5,0.0009765625
110,000100001001110001,0,450.5,0.0009765625
119,110000100001000000,0,450.75,0.0009765625
120,011000100001000000,0,450.75,0.0009765625
121,000110001001000000,0,450.75,0.0009765625
130,001111100001010000,0,450.75,0.0009765625
131,100101001001010000,0,450.75,0.0009765625
139,110011001001001000,0,450.75,0.0009765625
143,001100001001011000,0,450.75,0.0009765625
153,001100001001010100,0,450.75,0.0009765625
180,010000100001000110,0,450.75,0.0009765625
181,100100001001000110,0,450.75,0.0009765625
193,001100001001000001,0,450.75,0.0009765625
196,000000100001010001,0,450.75,0.0009765625
210,001100001001010101,0,450.75,0.0009765625
211,110000001001001101,0,450.75,0.0009765625
237,010000100001101100,0,600.75,0.0009765625
247,000100001001101010,0,600.75,0.0009765625
251,000000100001111010,0,600.75,0.0009765625
252,000010100001111010,0,600.75,0.0009765625
257,001100100001100001,0,600.75,0.0009765625
259,000000001001110001,0,600.75,0.0009765625
261,000000001001101001,0,600.75,0.0009765625
263,000011001001111001,0,600.75,0.0009765625
270,110000100001101101,0,600.75,0.0009765625
287,011000100001010000,0,601.0,0.0009765625
324,010110100001001100,0,601.0,0.0009765625
332,011000100001011100,0,601.0,0.0009765625
345,001000100001010010,0,601.0,0.0009765625
353,000010001001001010,0,601.0,0.0009765625
354,010110001001001010,0,601.0,0.0009765625
359,001110001001011010,0,601.0,0.0009765625
371,010010100001010110,0,601.0,0.0009765625
377,001100100001001110,0,601.0,0.0009765625
379,000100001001001110,0,601.0,0.0009765625
387,000000100001011110,0,601.0,0.0009765625
394,000010100001000001,0,601.0,0.0009765625
405,001100100001001001,0,601.0,0.0009765625
414,110000100001000101,0,601.0,0.0009765625
438,110101001001110000,0,751.0,0.0009765625
441,110111001001101000,0,751.0,0.0009765625
443,000111100001111000,0,751.0,0.0009765625
484,000100001001111101,0,751.0,0.0009765625
501,110010100001000000,0,751.25,0.0009765625
502,000011100001000000,0,751.25,0.0009765625
504,010010001001000000,0,751.25,0.0009765625
505,000011001001000000,0,751.25,0.0009765625
514,001101001001001000,0,751.25,0.0009765625
537,001100001001001100,0,751.25,0.0009765625
587,000100100001011001,0,751.25,0.0009765625
592,001000100001000101,0,751.25,0.0009765625
617,000110100001111000,0,901.25,0.0009765625
644,000000100001100101,0,901.25,0.0009765625
702,100000100001001010,0,901.5,0.0009765625
728,000001100001001001,0,901.5,0.0009765625
741,001000001001011111,0,901.5,0.0009765625
773,000010100001010000,0,1051.75,0.0009765625
778,000000100001001000,0,1051.75,0.0009765625
782,101100100001011000,0,1051.75,0.0009765625
793,000010001001011100,0,1051.75,0.0009765625
799,100110100001010010,0,1051.75,0.0009765625
801,110101001001001010,0,1051.75,0.0009765625
821,000000100001101000,0,1201.75,0.0009765625
831,000010100001111100,0,1201.75,0.0009765625
847,000000001001000000,0,1202.0,0.0009765625
848,100000001001000000,0,1202.0,0.0009765625
872,010001100001011001,0,1202.0,0.0009765625
902,011111001001010010,0,1352.25,0.0009765625
920,110100001001100011,0,1502.25,0.0009765625
941,110101001001000001,0,1652.75,0.0009765625
942,011001001001001001,0,1652.75,0.0009765625
945,110100001001011011,0,1652.75,0.0009765625
953,001101001001010011,0,1803.0,0.0009765625
956,000111001001001011,0,1803.0,0.0009765625
994,110011100001010111,0,2554.25,0.0009765625
