iteration,energy,paramter,std
1,0.7640531924178839,[0.5 0.5 0.5 0.5],0.02398373518087184
2,2.2369980307465362,[2.5 0.5 0.5 0.5],0.04095107363182488
3,0.1750726721396702,[0.5 2.5 0.5 0.5],0.018445794769393453
4,-0.5245712659654371,[0.5 2.5 2.5 0.5],0.023367296455632975
5,-0.4900196261132662,[0.5 2.5 2.5 2.5],0.017806484237692044
6,-0.11372169173415983,[-1.19878419  3.17928599  3.30691688  0.46015073],0.01899912472159127
7,-0.3005232827132267,[1.25456512 2.92231564 3.00166443 0.4752255 ],0.027352281632067314
8,-0.14085187416415454,[0.51667911 1.55867745 2.83668562 0.48337291],0.02799499945940949
9,-0.9881446186362713,[0.51323233 2.64018919 2.02041904 0.48680895],0.02365346216324578
10,-0.29676486423044685,[0.65642106 2.6801433  1.54311101 0.47799464],0.015404357560809911
11,-0.6459240936171563,[0.51553128 2.65400557 2.0176561  0.73640099],0.025159965973627567
12,-0.201085107699236,[0.2353946  3.03831303 2.06821804 0.37717838],0.026024109104714803
13,-1.2043400826933919,[0.30812808 2.50495174 1.97498382 0.49568136],0.020781876548936946
14,0.25086595316683125,[0.38805175 2.16480527 1.70679393 0.25906611],0.024049393545671014
15,-1.1761104691392195,[0.14348319 2.68132876 1.98381046 0.43083309],0.01789163227186843
16,-1.0916421076933425,[0.26876246 2.44137486 2.21172454 0.46631884],0.020698715655394623
17,-1.2693869474356696,[0.28723858 2.44545054 1.91294418 0.4073676 ],0.01880685725432387
18,-0.9046269910917804,[0.22328516 2.38096964 1.83168968 0.43520425],0.022748336726472508
19,-1.2256389317707435,[0.31614957 2.47637365 1.86718234 0.41184198],0.017252225409587155
20,-1.1576967440810675,[0.34312505 2.45587216 1.97804506 0.31706274],0.020731932765520166
21,-1.2318710516454483,[0.3283193  2.4027121  1.91195123 0.42714295],0.018504126053658875
22,-1.1264354519177955,[0.17010165 2.40811388 1.89185691 0.41544479],0.022230987680407172
23,-1.1752516825833255,[0.30547424 2.47722903 1.86234466 0.40548948],0.01797591840060504
24,-1.268910530006782,[0.29237109 2.44704368 1.93325751 0.38423644],0.01933814561419533
25,-1.3263534338401755,[0.29289665 2.45463278 1.92043584 0.4158345 ],0.018299389071591194
26,-1.3366500919176905,[0.29108475 2.46781385 1.94135138 0.43486287],0.017971350404821774
27,-1.3208030201201253,[0.30107261 2.47897022 1.93696511 0.43403857],0.01822179705116939
28,-1.3555701629252896,[0.2899374  2.46728236 1.93629349 0.4406813 ],0.0183288306913761
29,-1.342706366437591,[0.30088099 2.45782612 1.93856648 0.44613946],0.01847154141410887
30,-1.3665435632566458,[0.27971813 2.46680308 1.92955398 0.45037956],0.01809044080752395
31,-1.3338620202852003,[0.28559462 2.4777388  1.92094801 0.45437391],0.017831541787612728
32,-1.334491777455997,[0.27998587 2.46374806 1.92383543 0.44602886],0.018214697110695868
33,-1.3612578622069205,[0.27314086 2.46596033 1.94022562 0.45966859],0.018228473434278747
34,-1.3392237732776717,[0.2784471  2.47113182 1.93336318 0.44526374],0.01851229419155925
35,-1.3441046426535028,[0.28639814 2.46438523 1.93274122 0.45101843],0.018420653166824726
36,-1.3429414327445695,[0.28028964 2.46942195 1.92794093 0.45271873],0.017903506561115497
37,-1.3429542923503448,[0.27717962 2.46464038 1.93106336 0.45174312],0.01799758095694739
38,-1.355972703166903,[0.27986837 2.46604599 1.92818304 0.44922221],0.018380479756875637
39,-1.3358093940218516,[0.27902602 2.46733832 1.92954873 0.4499458 ],0.01817278116789783
40,-1.309605847427326,[0.28137864 2.46612673 1.93026695 0.45068226],0.01851198012143301
41,-1.334471984821586,[0.27921505 2.46622554 1.92938083 0.45096012],0.018451578228110374
42,-1.3449393727666021,[0.28001363 2.46734887 1.92894017 0.45081741],0.018512662674744582
43,-1.3600947010260944,[0.28008521 2.46670641 1.92982745 0.45023979],0.018062742181444682
44,-1.3680579909185395,[0.27971361 2.46692918 1.92968701 0.45054076],0.017652956720478844
45,-1.3104669546839327,[0.27998453 2.46714918 1.92937265 0.45067419],0.01869497502759416
