index,bitstring,energy,probability
0,110001000010101000,20.25,0.0009765625
1,000001000110000010,30.75,0.0009765625
2,000000010100000110,30.75,0.0009765625
3,000000000100011110,30.75,0.0009765625
4,000011000000111001,40.75,0.0009765625
5,000011111100000000,41.0,0.0009765625
6,110011000100001000,41.0,0.0009765625
7,001101110010001000,41.0,0.0009765625
8,000000000001011100,41.0,0.0009765625
9,010010100001010010,41.0,0.0009765625
10,000100011001010010,41.0,0.0009765625
11,010010000001001010,41.0,0.0009765625
12,000011010110000110,41.0,0.0009765625
13,000011001000011110,41.0,0.0009765625
14,110011101100100000,51.0,0.0009765625
15,110011001110100000,51.0,0.0009765625
16,000011010010110000,51.0,0.0009765625
17,101100001100110110,51.0,0.0009765625
18,001110100001110110,51.0,0.0009765625
19,000000000100100001,51.0,0.0009765625
20,001100011001110001,51.0,0.0009765625
21,010010110001101001,51.0,0.0009765625
22,000100001001100101,51.0,0.0009765625
23,100111011100000000,51.25,0.0009765625
24,100101001010000000,51.25,0.0009765625
25,100011011000010000,51.25,0.0009765625
26,010000010000001000,51.25,0.0009765625
27,100110001001000100,51.25,0.0009765625
28,010000000111000010,51.25,0.0009765625
29,001110100001011010,51.25,0.0009765625
30,001000000101000110,51.25,0.0009765625
31,101100000110010110,51.25,0.0009765625
32,000100011001010110,51.25,0.0009765625
33,001000000001000001,51.25,0.0009765625
34,000011111000100000,61.25,0.0009765625
35,000101000100110000,61.25,0.0009765625
36,010001100101101000,61.25,0.0009765625
37,110000011010101100,61.25,0.0009765625
38,010000000100100001,61.25,0.0009765625
39,100001001110100001,61.25,0.0009765625
40,111000000011100001,61.25,0.0009765625
41,100100010011100001,61.25,0.0009765625
42,100100001011100001,61.25,0.0009765625
43,000010101100110001,61.25,0.0009765625
44,000010111001101001,61.25,0.0009765625
45,000000111000100101,61.25,0.0009765625
46,100000000001100101,61.25,0.0009765625
47,000100000100110101,61.25,0.0009765625
48,000100000001110101,61.25,0.0009765625
49,011000010010101101,61.25,0.0009765625
50,001001000110101101,61.25,0.0009765625
51,000000011100100011,61.25,0.0009765625
52,000000000001100011,61.25,0.0009765625
53,101001010011000000,61.5,0.0009765625
54,111001000111010000,61.5,0.0009765625
55,110011101100001000,61.5,0.0009765625
56,001111110100000100,61.5,0.0009765625
57,000010000011000010,61.5,0.0009765625
58,000110101101010010,61.5,0.0009765625
59,010010111000001010,61.5,0.0009765625
60,001011100100001010,61.5,0.0009765625
61,001011110010001010,61.5,0.0009765625
62,010000000000000110,61.5,0.0009765625
63,001011000100000110,61.5,0.0009765625
64,001110110100000110,61.5,0.0009765625
65,001100001011000110,61.5,0.0009765625
