index,bitstring,cost,energy,probability
0,100000001001011000,0,30.75,0.0009765625
1,110100001001001100,0,30.75,0.0009765625
45,110001001001110000,0,61.25,0.0009765625
47,111100100001111000,0,61.25,0.0009765625
52,110001100001111010,0,61.25,0.0009765625
66,101100001001111011,0,61.25,0.0009765625
84,011100100001010110,0,61.5,0.0009765625
106,000010100001100101,0,71.5,0.0009765625
142,100100001001011101,0,71.75,0.0009765625
147,001011001001111000,0,81.75,0.0009765625
197,001011100001011010,0,82.0,0.0009765625
215,000110001001001101,0,82.0,0.0009765625
229,011101001001100010,0,92.0,0.0009765625
236,110111001001111010,0,92.0,0.0009765625
239,110001100001111110,0,92.0,0.0009765625
279,101110001001010110,0,92.25,0.0009765625
294,100011100001100000,0,102.25,0.0009765625
335,111001100001000000,0,102.5,0.0009765625
364,110010100001010101,0,102.5,0.0009765625
376,111111100001100010,0,112.5,0.0009765625
519,101101001001110101,0,133.0,0.0009765625
524,011001100001101011,0,133.0,0.0009765625
551,100100001001001111,0,133.25,0.0009765625
561,101001100001101100,0,143.25,0.0009765625
567,111010001001110110,0,143.25,0.0009765625
692,101101001001001010,0,164.0,0.0009765625
701,000101001001011110,0,164.0,0.0009765625
716,111111100001110001,0,174.0,0.0009765625
790,101011001001011001,0,194.75,0.0009765625
806,110111100001000010,0,205.0,0.0009765625
813,100111100001011110,0,205.0,0.0009765625
820,100101001001011001,0,205.0,0.0009765625
826,101010001001111100,0,215.0,0.0009765625
857,011101001001110011,0,225.25,0.0009765625
870,111001100001011001,0,225.5,0.0009765625
985,111011100001010011,0,348.5,0.0009765625
995,011101100001000111,0,420.25,0.0009765625
