iteration,energy,paramter,std
1,10.51810276552731,[0.5 0.5 0.5 0.5],0.3724521878476209
2,-1.0633127217773484,[2.5 0.5 0.5 0.5],0.32966314929563323
3,13.129086157128862,[2.5 2.5 0.5 0.5],0.41340924245051786
4,6.052633175781236,[2.5 0.5 2.5 0.5],0.36713546846337597
5,2.0263364876953123,[2.5 0.5 0.5 2.5],0.34442580877863516
6,12.010491883300826,[ 3.66436425 -0.92686548 -0.21541799  0.18937501],0.39476983887136496
7,1.509537166015621,[ 3.08218213 -0.21343274  0.142291    0.3446875 ],0.35146985767748073
8,7.313450995996103,[2.05542362 0.29923071 0.39933601 0.45629303],0.378016383766172
9,3.364370202246091,[2.5        0.61205208 0.27651772 0.5       ],0.34841064394060134
10,8.624948227832018,[2.74946703 0.56772455 0.92689677 0.46936116],0.41717676070841964
11,5.591913955078136,[2.5        0.56601677 0.47233525 0.26046619],0.38084013661574895
12,-0.757645233203124,[2.61610724 0.69559926 0.21625802 0.84314797],0.3519183880410622
13,3.7149784665038985,[2.63435582 0.30553463 0.41862789 0.49678856],0.3486599849311722
14,8.49960091308594,[2.39321547 0.47807752 0.51538557 0.55920096],0.37257598223592364
15,-4.165991734375002,[2.49433305 0.52001335 0.44233415 0.51217585],0.32156774896446455
16,3.996118094433582,[2.57546258 0.60146751 0.42819007 0.55916695],0.36976320240722954
17,2.0941445843749933,[2.51744605 0.47149986 0.41062328 0.50858389],0.3622027915406477
18,7.196583194042971,[2.50197257 0.52836811 0.43838956 0.48331691],0.36071253143651566
19,3.7672157023437496,[2.45586702 0.51534073 0.44647871 0.56103896],0.3602677289270766
20,-5.539769044921856,[2.51846385 0.5303874  0.44600897 0.52870285],0.303387852082133
21,1.018092707226561,[2.5112004  0.53022077 0.44739496 0.54246636],0.3744385299860334
22,-5.125962973730453,[2.51907127 0.52996439 0.4383085  0.52979372],0.31287046719562867
23,-4.238182529980473,[2.52476736 0.51618188 0.447621   0.52859795],0.31245527331466316
24,-6.106544519921877,[2.52585329 0.53688446 0.44632959 0.51656933],0.2991381432002415
25,-5.00104304804688,[2.52597479 0.54383361 0.44985094 0.51714368],0.30183107811034376
26,-5.8740064161132866,[2.52247206 0.53737223 0.44577931 0.51475677],0.3027319905616566
27,-5.3726230022460895,[2.52869413 0.5306348  0.44829447 0.51339983],0.30825611630666155
28,-5.844279713574193,[2.52812803 0.53751079 0.43890869 0.51720071],0.3054276302579443
29,-6.050079917382797,[2.52439309 0.5354295  0.4463115  0.51988737],0.2979156193945998
30,-5.691910270703109,[2.5263952  0.53843164 0.44711373 0.51728514],0.2971171747973464
31,-5.60578392832029,[2.52575807 0.53654984 0.44722338 0.51638556],0.30015147381921115
32,-6.272684114160128,[2.52633057 0.53673182 0.44444334 0.51664459],0.2961793309632302
33,-6.371234103320287,[2.52468563 0.53750044 0.44385101 0.51623564],0.2973188625821637
34,-5.368234320117183,[2.52506595 0.5379134  0.44388197 0.51543718],0.3036491986862903
35,-5.926314852929698,[2.52448554 0.5381088  0.44371055 0.51807543],0.2986505200939589
36,-6.462890766015604,[2.52382285 0.53576621 0.44367546 0.51641435],0.29346655389617854
37,-6.127479676171869,[2.52364583 0.53592025 0.44358911 0.51735836],0.2959809616566574
38,-6.166729852050769,[2.523977   0.53573545 0.44321324 0.516406  ],0.29817526553993157
39,-6.145012152050791,[2.52353592 0.53570588 0.4444831  0.51595023],0.2965780949803253
40,-6.037984418945296,[2.52343867 0.53596419 0.44348371 0.51629247],0.30099328992257807
41,-6.212133889453123,[2.52466645 0.53530387 0.44353657 0.51631966],0.29518819213770714
42,-5.8785341509765585,[2.52364243 0.53584511 0.44329987 0.51617233],0.30276019242126995
43,-6.264835553613262,[2.52375332 0.53553507 0.44364613 0.51643635],0.2962142261973002
44,-5.80013606767579,[2.52430003 0.53579504 0.44377327 0.51643216],0.30392995670775613
45,-5.854975611914049,[2.52369521 0.53582893 0.44387018 0.51637616],0.29949212430319244
46,-5.908230482617173,[2.5237914  0.5358279  0.44359989 0.51663594],0.29703578422241766
47,-5.695770769726546,[2.52381622 0.53578736 0.44358913 0.51633094],0.30263355077760973
48,-5.908791597265641,[2.52392809 0.53573764 0.44372758 0.51643144],0.2998602339177196
49,-6.054486174121059,[2.52378253 0.53577583 0.44372013 0.51641104],0.299625347963147
50,-6.151724322753903,[2.52381616 0.53573716 0.44367519 0.5164078 ],0.2974566798257225
51,-5.598054100683601,[2.52381831 0.5357815  0.44364983 0.5164674 ],0.30464115063641867
52,-5.853942926171888,[2.52384874 0.53577112 0.4436892  0.51640742],0.298501794316144
53,-6.284492182128903,[2.52381322 0.53577815 0.44365841 0.51639422],0.29388180520311713
