index,bitstring,cost,energy,probability
2,110100001001000000,10,10.25,0.0009765625
3,000100001001010000,10,10.25,0.0009765625
4,010000100001001000,10,10.25,0.0009765625
9,001100001001110001,10,20.25,0.0009765625
22,010000100001001100,10,20.5,0.0009765625
23,100000001001011010,10,20.5,0.0009765625
37,001000100001111011,10,30.5,0.0009765625
43,001100001001001000,10,30.75,0.0009765625
58,011111100001100000,10,40.75,0.0009765625
64,001100100001100010,10,40.75,0.0009765625
65,001100001001111010,10,40.75,0.0009765625
83,000010001001010000,10,41.0,0.0009765625
117,110000001001100110,10,51.0,0.0009765625
135,111000001001001000,10,51.25,0.0009765625
142,000110100001000100,10,51.25,0.0009765625
146,010110100001010100,10,51.25,0.0009765625
147,000000001001010100,10,51.25,0.0009765625
169,100000100001011110,10,51.25,0.0009765625
170,001000100001000001,10,51.25,0.0009765625
173,110000100001001001,10,51.25,0.0009765625
183,000100001001110000,10,61.25,0.0009765625
193,010011100001101110,10,61.25,0.0009765625
203,101100001001100011,10,61.25,0.0009765625
232,111000001001001100,10,61.5,0.0009765625
249,110000001001000001,10,61.5,0.0009765625
282,000000001001111010,10,71.5,0.0009765625
283,100000001001111010,10,71.5,0.0009765625
294,111000001001111001,10,71.5,0.0009765625
313,000111100001010000,10,71.75,0.0009765625
325,001010100001010100,10,71.75,0.0009765625
363,111010100001101001,10,81.75,0.0009765625
390,000111001001010100,10,82.0,0.0009765625
396,010011100001001100,10,82.0,0.0009765625
411,010010100001010101,10,82.0,0.0009765625
489,011000001001001001,10,92.25,0.0009765625
500,100000100001001011,10,92.25,0.0009765625
504,001000001001011111,10,92.25,0.0009765625
518,010101001001101100,10,102.25,0.0009765625
535,001011100001110101,10,102.25,0.0009765625
600,001001100001100011,10,112.5,0.0009765625
644,101110001001110000,10,122.75,0.0009765625
646,111010100001101000,10,122.75,0.0009765625
746,111011001001000000,10,143.5,0.0009765625
845,101110001001000011,10,174.25,0.0009765625
862,110101001001000010,10,184.5,0.0009765625
876,010011001001001001,10,194.75,0.0009765625
893,000111001001010101,10,205.0,0.0029296874999999996
894,010011100001001101,10,205.0,0.0009765625
906,110101001001000110,10,215.25,0.0009765625
931,001111100001010101,10,225.5,0.0009765625
972,010111100001011001,10,297.25,0.0009765625
983,000111100001010111,10,317.75,0.0009765625
