index,bitstring,energy,probability
0,001100000110010100,20.5,0.0009765625
1,100100001100010000,30.75,0.0009765625
2,001100110000001000,30.75,0.0009765625
3,010010100101000100,30.75,0.0009765625
4,000100001001011100,30.75,0.0009765625
5,100000000011010010,30.75,0.0009765625
6,110001100100110000,40.75,0.0009765625
7,001101000001110000,40.75,0.0009765625
8,001101001001110000,40.75,0.0009765625
9,110011001100100010,40.75,0.0009765625
10,011100100000100001,40.75,0.0009765625
11,001000010001101011,40.75,0.0009765625
12,000100001100110111,40.75,0.0009765625
13,001000000000111111,40.75,0.0009765625
14,110000001110000000,41.0,0.0009765625
15,001000010000011100,41.0,0.0009765625
16,100000000100011100,41.0,0.0009765625
17,001100001000000110,41.0,0.0009765625
18,100000000100011101,41.0,0.0009765625
19,011001110010100000,51.0,0.0009765625
20,000111101001111000,51.0,0.0009765625
21,110011000100110100,51.0,0.0019531250000000004
22,110001100110110100,51.0,0.0009765625
23,001001110010100010,51.0,0.0009765625
24,001101100100110010,51.0,0.0009765625
25,110000010011101010,51.0,0.0009765625
26,001011000100110110,51.0,0.0009765625
27,110110001001101110,51.0,0.0009765625
28,110000000110111110,51.0,0.0009765625
29,100100001011100001,51.0,0.0009765625
30,000001100110110001,51.0,0.0009765625
31,110100001101110001,51.0,0.0009765625
32,000011000011110001,51.0,0.0009765625
33,011000000001111001,51.0,0.0009765625
34,101100010000110101,51.0,0.0009765625
35,100100010000101101,51.0,0.0009765625
36,010000000010101101,51.0,0.0009765625
37,010000100101101101,51.0,0.0009765625
38,000010001001111101,51.0,0.0009765625
39,110000000110110011,51.0,0.0009765625
40,110000001101101011,51.0,0.0009765625
41,100000100100110111,51.0,0.0009765625
42,100010010000101111,51.0,0.0009765625
43,001100010010111111,51.0,0.0009765625
44,111100100100000000,51.25,0.0009765625
45,000100000011001000,51.25,0.0009765625
46,101000000011011000,51.25,0.0009765625
47,011010110100000100,51.25,0.0009765625
48,111100000100010100,51.25,0.0009765625
49,000000000000010010,51.25,0.0009765625
50,000010010010000110,51.25,0.0009765625
51,001100001101010110,51.25,0.0009765625
52,011000000000001110,51.25,0.0009765625
53,000000011010011110,51.25,0.0009765625
54,000000110001000001,51.25,0.0009765625
55,110101100100100000,61.25,0.0009765625
56,010111100110100000,61.25,0.0009765625
57,010101000011100000,61.25,0.0009765625
58,110111001011100000,61.25,0.0009765625
59,000101110000110000,61.25,0.0009765625
60,001101100101110000,61.25,0.0009765625
61,110011001101110000,61.25,0.0009765625
62,110001001101101000,61.25,0.0009765625
63,100101000011101000,61.25,0.0009765625
64,011011100011101000,61.25,0.0009765625
65,011001100010111100,61.25,0.0009765625
66,110001010010111010,61.25,0.0009765625
67,110001001011111010,61.25,0.0009765625
68,111100000111100110,61.25,0.0009765625
69,011000100110110110,61.25,0.0009765625
70,000001010000100001,61.25,0.0009765625
71,100000010010100001,61.25,0.0009765625
72,100100011011110001,61.25,0.0009765625
73,011000000100101001,61.25,0.0009765625
74,000110000100100101,61.25,0.0009765625
75,001110100100100101,61.25,0.0009765625
76,011000101100100101,61.25,0.0009765625
77,010000000011100101,61.25,0.0009765625
78,101001000110110101,61.25,0.0009765625
79,100100000001111011,61.25,0.0009765625
80,101000010110100111,61.25,0.0009765625
81,100000100100010000,61.5,0.0019531250000000004
82,110001000010011000,61.5,0.0009765625
83,100110000001011000,61.5,0.0009765625
84,000000001101000100,61.5,0.0009765625
85,100000010011000100,61.5,0.0009765625
86,011100010011000100,61.5,0.0009765625
87,010000111001001100,61.5,0.0009765625
88,000011101000011100,61.5,0.0009765625
89,100001001110011100,61.5,0.0009765625
90,001000001101000010,61.5,0.0009765625
91,110010100100001010,61.5,0.0009765625
92,011000100010001010,61.5,0.0009765625
93,000000111001001110,61.5,0.0009765625
94,010010001001011110,61.5,0.0009765625
95,000000001001000101,61.5,0.0009765625
96,000100001100010101,61.5,0.0009765625
97,110001110001100000,71.5,0.0009765625
98,000111001111100000,71.5,0.0009765625
99,100001010100101000,71.5,0.0009765625
100,011100110011101000,71.5,0.0009765625
101,010110011100100100,71.5,0.0009765625
102,011100011001100100,71.5,0.0009765625
103,110000011000101100,71.5,0.0009765625
104,000011101100111100,71.5,0.0009765625
105,111100011010100010,71.5,0.0009765625
106,100001001111100010,71.5,0.0009765625
107,110010000100110010,71.5,0.0009765625
108,101101001010110010,71.5,0.0009765625
109,011010100101110010,71.5,0.0009765625
110,000001100111111010,71.5,0.0009765625
111,000111000110100110,71.5,0.0009765625
112,010110100101110110,71.5,0.0009765625
113,011010100001111110,71.5,0.0009765625
114,001000100000110001,71.5,0.0009765625
115,000010000111110001,71.5,0.0009765625
116,111000100011111001,71.5,0.0009765625
117,001001000100100101,71.5,0.0009765625
118,001100011100101101,71.5,0.0009765625
119,010010000110101101,71.5,0.0009765625
120,000110000001101101,71.5,0.0009765625
121,001110000001101101,71.5,0.0009765625
122,000000010100111101,71.5,0.0009765625
123,000010110101100011,71.5,0.0009765625
124,001100110011110011,71.5,0.0009765625
125,010010000101101011,71.5,0.0009765625
126,011000010100100111,71.5,0.0009765625
127,010010010100100111,71.5,0.0009765625
128,111000100000010000,71.75,0.0009765625
129,100110010000010000,71.75,0.0009765625
130,001010010000011000,71.75,0.0009765625
131,001011000101011000,71.75,0.0009765625
132,001000001011011000,71.75,0.0009765625
133,111000110110000100,71.75,0.0009765625
134,100001011000010100,71.75,0.0009765625
135,000010000111010100,71.75,0.0009765625
136,000000000111001100,71.75,0.0009765625
137,010000001011000010,71.75,0.0009765625
138,000010110101010010,71.75,0.0009765625
139,000010101000001010,71.75,0.0009765625
140,010010110000011010,71.75,0.0009765625
141,100110011001011010,71.75,0.0009765625
142,100100101100010110,71.75,0.0019531250000000004
143,000000111000000001,71.75,0.0009765625
144,001000100011000001,71.75,0.0009765625
145,001100001001001001,71.75,0.0009765625
146,000000010001010101,71.75,0.0009765625
147,000000000001011111,71.75,0.0009765625
148,111100110100100000,81.75,0.0009765625
149,100001011011100000,81.75,0.0009765625
150,100101100000110000,81.75,0.0009765625
151,110100001010111000,81.75,0.0009765625
152,011111100011111000,81.75,0.0009765625
153,000001010000110100,81.75,0.0009765625
154,111100110000110100,81.75,0.0009765625
155,001011010100101100,81.75,0.0009765625
156,010111101100101100,81.75,0.0009765625
157,100100001001111100,81.75,0.0009765625
158,010000001000100010,81.75,0.0009765625
159,011001110011100010,81.75,0.0009765625
160,100001110100101010,81.75,0.0009765625
